date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2956,3075,279,293,149,151
2020-04-13,2913,3215,372,316,156,153
2020-04-14,2841,3372,558,354,169,155
2020-04-15,2790,3504,744,412,183,157
2020-04-16,2757,3622,931,497,195,159
2020-04-17,2720,3705,1117,613,205,162
2020-04-18,2684,3743,1303,761,212,165
2020-04-19,2639,3759,1489,936,220,168
2020-04-20,2583,3777,1676,1131,231,171
2020-04-21,2554,3801,1862,1342,240,174
2020-04-22,2542,3819,2048,1564,250,177
2020-04-23,2594,3835,2234,1794,256,180
2020-04-24,2683,3841,2420,2029,262,183
2020-04-25,2777,3819,2607,2267,267,186
2020-04-26,2827,3801,2793,2505,273,189
2020-04-27,2831,3823,2979,2743,284,192
2020-04-28,2835,3847,3165,2983,296,195
2020-04-29,2899,3872,3347,3225,308,198
2020-04-30,3054,3901,3525,3468,317,201
2020-05-01,3311,3917,3640,3713,325,204
2020-05-02,3607,3905,3706,3959,333,207
2020-05-03,3818,3901,3798,4205,337,210
2020-05-04,3969,3942,3942,4451,344,213
2020-05-05,4066,3993,4150,4699,351,216
2020-05-06,4198,4054,4333,4950,363,219
2020-05-07,4342,4123,4520,5205,373,222
2020-05-08,4500,4176,4696,5465,385,225
2020-05-09,4661,4213,4861,5728,394,228
2020-05-10,4769,4248,5021,5993,402,231
2020-05-11,4820,4316,5187,6260,409,234
2020-05-12,4821,4390,5406,6532,416,237
2020-05-13,4826,4476,5679,6808,424,240
2020-05-14,4882,4555,5972,7090,433,243
2020-05-15,4968,4598,6302,7377,445,246
2020-05-16,5119,4632,6566,7666,453,249
2020-05-17,5269,4672,6745,7958,458,252
2020-05-18,5263,4754,6981,8252,461,255
2020-05-19,5231,4830,7295,8551,469,258
2020-05-20,5213,4911,7703,8855,478,261
2020-05-21,5376,4983,8034,9164,488,264
2020-05-22,5536,5032,8354,9478,496,267
2020-05-23,5663,5039,8683,9795,504,270
2020-05-24,5772,5019,8964,10112,510,274
2020-05-25,5858,5028,9203,10428,513,277
2020-05-26,5960,5121,9486,10745,523,280
2020-05-27,6020,5207,9878,11067,535,284
2020-05-28,6125,5267,10370,11395,552,288
2020-05-29,6202,5296,10867,11727,568,292
2020-05-30,6243,5263,11288,12060,582,296
2020-05-31,6194,5246,11607,12391,591,300
2020-06-01,6003,5302,12020,12721,598,304
2020-06-02,5883,5395,12464,13055,606,308
2020-06-03,5942,5492,12845,13395,616,312
2020-06-04,6123,5585,13099,13741,625,316
2020-06-05,6241,5641,13362,14093,634,320
2020-06-06,6192,5657,13718,14448,641,324
2020-06-07,6149,5688,14019,14804,646,328
2020-06-08,6119,5802,14290,15162,651,332
2020-06-09,6046,5904,14608,15527,659,336
2020-06-10,5962,5996,14976,15899,671,340
2020-06-11,5865,6084,15376,16276,680,344
2020-06-12,5756,6177,15787,16659,687,348
2020-06-13,5627,6276,16190,17048,690,352
2020-06-14,5502,6353,16542,17443,692,356
2020-06-15,5427,6487,16839,17843,696,360
2020-06-16,5302,6621,17190,18251,703,365
2020-06-17,5053,6749,17746,18668,711,370
2020-06-18,4753,6893,18355,19093,720,375
2020-06-19,4657,7004,18801,19527,731,380
2020-06-20,4695,7087,19070,19968,739,385
2020-06-21,4796,7116,19268,20414,744,390
2020-06-22,4758,7234,19568,20862,746,395
2020-06-23,4799,7349,19838,21317,750,400
2020-06-24,4838,7455,20176,21780,759,405
2020-06-25,4860,7575,20617,22249,768,410
2020-06-26,4866,7715,21112,22726,775,415
2020-06-27,4902,7770,21577,23212,779,420
2020-06-28,4989,7807,21925,23701,781,425
2020-06-29,5118,7872,22252,24192,783,430
2020-06-30,5223,7930,22631,24688,784,435
2020-07-01,5344,7981,23067,25187,787,441
2020-07-02,5406,7988,23553,25689,792,447
