t,R_mean,R_low,R_high
21,1.247636866017682,1.2030317019844214,1.2930426222872726
22,1.240599305467327,1.1970777899797462,1.284887048363052
23,1.1397820631389903,1.0988954069013992,1.181405091447631
24,1.0434973942029133,1.0051394810052754,1.0825635310915287
25,0.9476539126331422,0.9117720113098774,0.9842186200720769
26,0.8471273058937043,0.8136609302549305,0.8812586920649289
27,0.7881841853988198,0.7560625522890461,0.8209646951880231
28,0.7701672268485178,0.7382527652113519,0.8027475417139093
29,0.7349158239477289,0.7032904543506407,0.7672269600721244
30,0.7084318608039739,0.6767084239181841,0.7408717606448524
31,0.6966425060567306,0.6643728935033049,0.7296666067378668
32,0.7007051146000531,0.667428657727525,0.7347797028130535
33,0.6762682684814243,0.6425956708195046,0.7107886477353885
34,0.6311117196397876,0.5975582940377587,0.6655687383279797
35,0.6236004968746431,0.5891502771084668,0.6590157662140269
36,0.637224320105555,0.6011843157143077,0.6742986204559107
37,0.6929553409068399,0.653911399890818,0.7331154291148059
38,0.7434728318230917,0.7013345886041127,0.7868230180603908
39,0.7748353492081163,0.7300369054208183,0.8209489189501055
40,0.8068390059719407,0.7594739139235313,0.8556165733229105
41,0.8927363884028241,0.8414819693252428,0.9454846311064717
42,0.9615265519263874,0.9071676748002423,1.0174447725839382
43,1.0075865403584767,0.9510043448857357,1.0657806962769036
44,1.0896619623852954,1.03015551407459,1.150815684905654
45,1.1631299360490441,1.1013834536072968,1.22653670821603
46,1.1571160029792789,1.0956887791183567,1.220194932080616
47,1.293885557121314,1.2294396400794303,1.3599545856107693
48,1.3571068379091358,1.2919772141999268,1.423815492270938
49,1.4087024309590126,1.343467472658753,1.4754621913391484
50,1.445912694827551,1.3812842959505616,1.5119979533584926
51,1.4299019251752942,1.3674497711612703,1.4937289892141012
52,1.3374248118728453,1.2790116725779805,1.3971239406113654
53,1.2467083613512664,1.1922573383665007,1.3023581461488694
54,1.1890472761188742,1.137602963655338,1.2416132711431376
55,1.1739158168124422,1.12418046790935,1.2247125878176264
56,1.1575105392335874,1.1091171195395586,1.2069228277708623
57,1.139006681360741,1.091711905640139,1.1872902544904294
58,1.1084093121464833,1.062343227555093,1.1554393990121035
59,1.060537306087854,1.0160341723130115,1.1059809428684721
60,1.035935664363106,0.9924648847982215,1.0803251297682066
61,0.9768124168053559,0.9350111554550382,1.0195149527249678
62,0.9481572030240498,0.9072256560751365,0.9899791990205881
63,0.9393885024869648,0.8987357023789162,0.9809279121635813
64,0.9381504962518383,0.8974508670422355,0.9797400002770326
65,0.9273284381174147,0.8866629592123575,0.9688928827667381
66,0.904087304196463,0.8636770393690975,0.9454085011443126
67,0.9164101120138403,0.8754490509027469,0.9582945213488222
68,0.8472926008006754,0.8076506820297669,0.8878709046438888
69,0.8212395471822982,0.781910439858845,0.8615200982228475
70,0.8120873318637436,0.7726077089601474,0.8525368614847191
71,0.820370190666915,0.7801737744474843,0.8615620972653633
72,0.8368959840863398,0.7956014627812888,0.8792205657570624
73,0.8819264158986014,0.8387001990743286,0.9262235054021352
74,0.9162339118373736,0.871326167811496,0.9622541861677202
75,0.9418829430431854,0.8956007130596914,0.9893147424349781
76,1.0388922541344459,0.989672120238346,1.089290063081699
77,1.1375990336729929,1.0856752463104493,1.1907186448644986
78,1.207906132231058,1.1542116432343135,1.2628042283458227
79,1.251260266330022,1.1967742916754671,1.306942095515782
80,1.2799361056892982,1.2254510985780767,1.3355895496508952
81,1.232732255730721,1.1802566474396734,1.2863332090978548
82,1.2449470327153789,1.1933817600762537,1.2975876510696298
83,1.230725945091465,1.1806236540507216,1.2818547872431008
84,1.2169706530224103,1.168187691405059,1.2667375002184185
85,1.2122371152070688,1.164474015772097,1.2609467438378732
86,1.218390694087789,1.17137242392108,1.2663211931307155
87,1.232940696119712,1.1864750101197696,1.2802863759138574
88,1.189854112441484,1.1450122252781796,1.2355452409659105
89,1.2171331019829883,1.1725818780417734,1.2625033538090844
90,1.2466520394673617,1.2023709982299673,1.291722610465548
91,1.2624886257734016,1.2186987064526722,1.3070406498823974
92,1.2753705187555087,1.2321263167641057,1.3193501511851646
93,1.2644922472860305,1.2222619488426896,1.3074297450935004
94,1.207960929882593,1.1675712844226729,1.2490277575851247
95,1.1542539846041613,1.1156600962957097,1.193494947070809
96,1.156043088747273,1.1182394832883604,1.1944663474781387
97,1.1601091802125059,1.1229115875639546,1.197904422756754
98,1.1605025597578742,1.123808380063741,1.1977779940862596
99,1.1739091429130946,1.1374358743406785,1.2109499720217325
100,1.1834841840484205,1.1473085286228908,1.220213517230448
101,1.1900994167813939,1.1543130095138747,1.2264245035205832
102,1.1550338185423759,1.1203018372849578,1.1902886073891095
103,1.1304580324302809,1.096633073444364,1.1647895911017028
104,1.1407713313588184,1.1073143184474212,1.1747193541621912
105,1.1489309878672487,1.1158158404101004,1.1825236237825545
106,1.1741961968677523,1.1411080742413189,1.2077506199618773
107,1.19128702759318,1.1583257171505554,1.2247043148461638
108,1.2068766878790558,1.1741028946644836,1.2400953461682964
109,1.203453434699715,1.1711937875737795,1.2361452482414346
110,1.2008455922390657,1.1691445204632545,1.2329648145295538
111,1.1987467597063302,1.1676224209956068,1.2302747897963937
112,1.1836034385432572,1.1532138626500221,1.214382737873111
113,1.1686070149694725,1.1389186742733304,1.1986720226821823
114,1.165637367694029,1.1364650192394938,1.1951742608914686
115,1.169335573138619,1.1405621129401775,1.1984624805746722
116,1.1461751788675607,1.1180960210573252,1.1745977150885278
117,1.1356070353227152,1.1080412327900202,1.1635068175278884
118,1.1177592821746833,1.0907803136144987,1.1450632476055675
119,1.1005095316671067,1.0740816384446086,1.127254149122913
120,1.0826144728041107,1.0567042046714463,1.1088341993207875
