date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,653,848,892,905,76,79
2020-04-13,671,1048,897,923,77,82
2020-04-14,704,1250,919,947,85,86
2020-04-15,719,1435,956,977,96,91
2020-04-16,781,1606,1008,1014,107,97
2020-04-17,847,1768,1068,1059,114,103
2020-04-18,975,1930,1114,1112,122,110
2020-04-19,1053,2056,1160,1174,132,118
2020-04-20,1114,2149,1205,1245,145,126
2020-04-21,1169,2245,1257,1325,160,135
2020-04-22,1195,2330,1369,1414,179,144
2020-04-23,1267,2403,1482,1513,200,153
2020-04-24,1376,2465,1594,1622,221,163
2020-04-25,1492,2547,1674,1741,245,173
2020-04-26,1596,2592,1756,1871,267,183
2020-04-27,1736,2605,1842,2011,286,193
2020-04-28,1978,2618,1932,2160,302,204
2020-04-29,2290,2628,2042,2319,321,215
2020-04-30,2661,2646,2165,2487,344,226
2020-05-01,3047,2676,2283,2665,369,237
2020-05-02,3250,2742,2564,2854,394,248
2020-05-03,3088,2763,3208,3057,413,259
2020-05-04,2869,2735,3947,3271,433,270
2020-05-05,2823,2695,4610,3492,455,281
2020-05-06,3141,2658,4975,3719,482,292
2020-05-07,3499,2631,5336,3952,509,303
2020-05-08,3773,2620,5775,4192,533,314
2020-05-09,3860,2631,6300,4439,556,325
2020-05-10,3798,2606,6913,4696,575,336
2020-05-11,3840,2562,7420,4958,594,347
2020-05-12,3947,2519,7842,5224,614,357
2020-05-13,4153,2484,8154,5493,641,367
2020-05-14,4383,2474,8480,5765,667,377
2020-05-15,4569,2532,8954,6043,691,387
2020-05-16,4727,2605,9522,6334,710,397
2020-05-17,4773,2592,10170,6641,726,408
2020-05-18,4788,2540,10826,6952,742,419
2020-05-19,4752,2505,11510,7263,761,429
2020-05-20,4761,2508,12085,7575,787,439
2020-05-21,5003,2532,12470,7893,818,449
2020-05-22,5284,2650,12889,8219,843,459
2020-05-23,5512,2844,13432,8565,863,470
2020-05-24,5563,2981,14138,8941,876,482
2020-05-25,5572,2996,14818,9340,892,494
2020-05-26,5449,2905,15551,9746,913,506
2020-05-27,5351,2852,16164,10144,942,518
2020-05-28,5372,2823,16633,10538,975,530
2020-05-29,5401,2862,17149,10932,1006,541
2020-05-30,5331,2985,17829,11335,1030,553
2020-05-31,5035,2994,18666,11758,1048,565
2020-06-01,4619,2909,19505,12185,1064,577
2020-06-02,4119,2858,20330,12603,1079,589
2020-06-03,3769,2842,21013,13016,1101,600
2020-06-04,3740,2864,21507,13429,1127,611
2020-06-05,3894,2979,21869,13847,1155,622
2020-06-06,3907,3144,22369,14284,1179,634
2020-06-07,3708,3206,22967,14747,1195,647
2020-06-08,3377,3152,23623,15221,1211,660
2020-06-09,3120,3110,24184,15689,1234,673
2020-06-10,3056,3102,24588,16152,1258,685
2020-06-11,3185,3148,24857,16616,1284,697
2020-06-12,3290,3306,25172,17088,1299,709
2020-06-13,3251,3541,25579,17585,1316,722
2020-06-14,3013,3637,26106,18118,1326,736
2020-06-15,2778,3540,26568,18667,1336,750
2020-06-16,2606,3476,27006,19202,1345,764
2020-06-17,2600,3464,27325,19729,1359,778
2020-06-18,2733,3469,27559,20255,1375,791
2020-06-19,2840,3663,27826,20782,1391,804
2020-06-20,2877,3935,28192,21340,1403,818
2020-06-21,2817,4044,28644,21940,1410,833
2020-06-22,2746,3959,29042,22557,1417,849
2020-06-23,2672,3874,29390,23162,1424,864
2020-06-24,2700,3836,29653,23754,1432,879
2020-06-25,2872,3874,29856,24341,1439,894
2020-06-26,3057,4072,30087,24934,1446,909
2020-06-27,3208,4442,30406,25558,1452,924
2020-06-28,3210,4597,30811,26239,1460,941
2020-06-29,3225,4450,31211,26945,1468,958
2020-06-30,3226,4362,31591,27629,1476,975
2020-07-01,3356,4344,31903,28299,1484,991
2020-07-02,2659,4517,33030,28967,1494,1007
2020-07-03,1064,4880,34920,29662,1502,1024
2020-07-04,-451,5175,36738,30413,1507,1042
2020-07-05,-518,5292,37118,31210,1509,1061
2020-07-06,-397,5117,37498,32025,1511,1080
2020-07-07,-297,4926,37878,32813,1516,1099
2020-07-08,-200,4772,38307,33572,1521,1117
2020-07-09,-17,4732,38662,34308,1528,1134
2020-07-10,269,4931,39032,35038,1532,1151
2020-07-11,508,5166,39495,35798,1536,1169
2020-07-12,589,5293,40080,36595,1539,1188
2020-07-13,539,5054,40659,37411,1543,1207
2020-07-14,487,4867,41192,38191,1549,1225
2020-07-15,641,4786,41555,38942,1557,1242
2020-07-16,974,4783,41828,39681,1565,1259
2020-07-17,1166,4906,42205,40419,1572,1276
2020-07-18,1209,5146,42776,41176,1577,1293
2020-07-19,1179,5324,43500,41970,1581,1311
2020-07-20,1104,5192,44234,42792,1584,1330
2020-07-21,942,5065,44978,43594,1588,1348
2020-07-22,881,4990,45572,44376,1593,1365
2020-07-23,1095,4989,46029,45147,1599,1382
2020-07-24,1401,5203,46493,45918,1606,1399
2020-07-25,1571,5436,47129,46722,1610,1417
2020-07-26,1568,5521,47901,47562,1613,1435
2020-07-27,1441,5402,48688,48415,1616,1454
2020-07-28,1299,5299,49423,49250,1621,1472
2020-07-29,1334,5233,50012,50069,1627,1490
2020-07-30,1620,5230,50446,50877,1634,1507
2020-07-31,1867,5428,50940,51685,1640,1524
2020-08-01,1985,5700,51568,52524,1646,1542
2020-08-02,1920,5795,52326,53405,1652,1561
2020-08-03,1805,5676,53095,54300,1656,1580
2020-08-04,1618,5602,53887,55177,1662,1598
2020-08-05,1624,5563,54567,56043,1669,1616
2020-08-06,1786,5588,55072,56903,1676,1634
2020-08-07,2039,5772,55587,57767,1682,1652
2020-08-08,2131,6046,56241,58659,1689,1670
2020-08-09,2093,6126,57049,59593,1696,1689
2020-08-10,1871,6017,57844,60540,1702,1708
2020-08-11,1570,5991,58606,61470,1710,1727
2020-08-12,1391,6008,59267,62396,1720,1745
2020-08-13,1506,6096,59769,63325,1731,1763
2020-08-14,1681,6380,60303,64267,1725,1781
2020-08-15,1777,6899,60920,65253,1732,1800
2020-08-16,1702,7119,61653,66319,1738,1821
2020-08-17,1537,7026,62357,67419,1759,1842
2020-08-18,1334,6930,63039,68505,1769,1863
2020-08-19,1271,6879,63621,69576,1780,1883
2020-08-20,1490,6935,64072,70639,1791,1903
2020-08-21,1746,7202,64557,71711,1799,1923
2020-08-22,1909,7578,65146,72824,1806,1944
2020-08-23,1912,7757,65859,73995,1812,1966
2020-08-24,1843,7540,66535,75194,1818,1988
2020-08-25,1718,7403,67202,76359,1827,2009
2020-08-26,1796,7298,67808,77503,1840,2030
2020-08-27,2136,7297,68301,78631,1851,2050
2020-08-28,2558,7508,68878,79759,1859,2070
2020-08-29,2808,7997,69558,80919,1862,2091
2020-08-30,2863,8154,70376,82155,1864,2113
2020-08-31,2766,7913,71169,83415,1867,2135
2020-09-01,2523,7643,72038,84638,1873,2156
2020-09-02,2430,7470,72877,85819,1880,2176
2020-09-03,2608,7435,73560,86974,1890,2196
2020-09-04,2870,7823,74222,88123,1897,2215
2020-09-05,2923,8419,74985,89332,1903,2235
2020-09-06,2716,8747,75940,90633,1908,2257
2020-09-07,2379,8649,76850,91985,1911,2279
2020-09-08,1938,8228,77714,93322,1915,2301
2020-09-09,1597,7920,78388,94594,1923,2322
2020-09-10,1447,7713,78895,95818,1935,2342
2020-09-11,1477,7727,79427,97010,1947,2361
2020-09-12,1474,7920,80105,98204,1959,2380
2020-09-13,1383,7944,80932,99428,1967,2399
2020-09-14,1196,7720,81700,100656,1974,2418
2020-09-15,985,7542,82407,101849,1979,2436
2020-09-16,1022,7490,82954,103015,1986,2454
2020-09-17,1410,7466,83377,104173,1993,2472
2020-09-18,2096,7663,83651,105327,2003,2489
2020-09-19,2700,8057,84137,106511,2011,2507
2020-09-20,3088,8181,84788,107756,2017,2525
2020-09-21,3173,8122,85597,109020,2023,2544
2020-09-22,3138,8104,86321,110275,2029,2562
2020-09-23,3259,8087,86883,111528,2036,2580
2020-09-24,3701,8109,87358,112778,2041,2598
2020-09-25,4297,8423,87942,114031,2047,2616
2020-09-26,4735,8942,88738,115333,2054,2634
2020-09-27,4853,9088,89763,116715,2061,2653
2020-09-28,4737,8885,90803,118120,2066,2672
2020-09-29,4480,8689,91850,119493,2076,2691
2020-09-30,4440,8598,92733,120836,2087,2709
2020-10-01,4695,8614,93437,122165,2101,2727
2020-10-02,5083,8675,94255,123496,2113,2745
2020-10-03,5225,8978,95311,124837,2123,2763
2020-10-04,5054,9038,96619,126225,2131,2781
2020-10-05,4777,8788,97875,127622,2136,2799
2020-10-06,4556,8619,99031,128980,2143,2816
