date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3644,13756,28,51,96,98
2020-04-13,3719,13311,38,137,102,105
2020-04-14,3905,13800,57,220,110,112
2020-04-15,4074,13727,76,307,121,119
2020-04-16,4214,13876,96,394,133,126
2020-04-17,4344,13879,115,482,144,133
2020-04-18,4488,13939,134,570,152,140
2020-04-19,4666,14067,153,659,157,147
2020-04-20,4842,14138,172,750,167,155
2020-04-21,5047,14177,192,841,180,163
2020-04-22,5261,14230,211,933,193,171
2020-04-23,5460,14310,230,1026,204,179
2020-04-24,5628,14320,249,1120,211,187
2020-04-25,5795,14349,268,1215,217,195
2020-04-26,5946,14446,288,1310,222,203
2020-04-27,6102,14540,307,1406,229,211
2020-04-28,6238,14608,326,1503,242,219
2020-04-29,6394,14699,345,1601,256,227
2020-04-30,6566,14736,364,1700,272,235
2020-05-01,6775,14736,384,1800,283,243
2020-05-02,7013,14688,403,1901,289,251
2020-05-03,7246,14730,422,2002,292,259
2020-05-04,7497,14801,435,2104,301,267
2020-05-05,7591,14874,588,2207,318,275
2020-05-06,7576,14916,883,2311,342,283
2020-05-07,7417,14903,1325,2415,365,291
2020-05-08,7278,14824,1766,2520,380,299
2020-05-09,7117,14707,2208,2625,388,307
2020-05-10,6943,14699,2650,2729,395,315
2020-05-11,6768,14692,3092,2834,410,323
2020-05-12,6588,14699,3533,2939,429,331
2020-05-13,6422,14685,3975,3045,452,339
2020-05-14,6274,14615,4417,3151,468,347
2020-05-15,6156,14444,4858,3257,480,355
2020-05-16,6034,14183,5300,3363,485,363
2020-05-17,5905,14059,5742,3467,487,370
2020-05-18,5789,14008,6184,3571,493,377
2020-05-19,5686,13988,6625,3675,505,384
2020-05-20,5615,13903,7067,3779,518,391
2020-05-21,5459,13764,7587,3883,530,398
2020-05-22,5381,13441,8037,3986,539,405
2020-05-23,5353,13026,8419,4087,547,412
2020-05-24,5563,12847,8653,4186,555,419
2020-05-25,5842,12730,8887,4284,565,426
2020-05-26,6126,12774,9121,4381,576,433
2020-05-27,6329,12821,9390,4479,584,440
2020-05-28,6469,12861,9695,4578,594,447
2020-05-29,6592,12804,10035,4678,606,454
2020-05-30,6723,12589,10375,4778,619,461
2020-05-31,6792,12614,10715,4877,631,467
2020-06-01,6786,12719,11055,4976,645,473
2020-06-02,6697,12808,11382,5077,658,479
2020-06-03,6619,12862,11696,5179,668,485
2020-06-04,6704,12897,11998,5282,673,491
2020-06-05,6862,12847,12300,5385,680,497
2020-06-06,7060,12577,12602,5488,685,503
2020-06-07,7197,12748,12904,5590,699,509
2020-06-08,7374,12930,13206,5694,713,515
2020-06-09,7666,13113,13524,5800,730,521
2020-06-10,8019,13217,13860,5908,742,527
2020-06-11,8510,13229,14212,6017,756,534
2020-06-12,9050,13104,14564,6126,765,541
2020-06-13,9628,12720,14917,6235,772,547
2020-06-14,9968,12709,15269,6341,773,553
2020-06-15,10169,12767,15621,6448,777,559
2020-06-16,10376,12866,15994,6556,783,565
2020-06-17,10701,12944,16387,6665,795,571
2020-06-18,11007,12978,16800,6775,807,577
2020-06-19,11158,12759,17213,6886,823,583
2020-06-20,11217,12059,17626,6995,833,589
2020-06-21,11314,11892,18039,7099,839,595
2020-06-22,11627,11951,18452,7202,848,601
2020-06-23,12119,12019,18862,7306,865,607
2020-06-24,12731,12029,19268,7411,883,613
2020-06-25,13319,11999,19670,7516,898,619
2020-06-26,13641,11821,20072,7622,909,625
2020-06-27,14102,11274,20474,7727,920,631
2020-06-28,14588,11183,20876,7827,927,636
2020-06-29,15309,11220,21278,7927,936,641
2020-06-30,15941,11318,21680,8028,950,646
2020-07-01,16728,11370,22124,8130,969,651
2020-07-02,17483,11339,22610,8233,987,656
2020-07-03,18129,11237,23139,8336,1002,661
2020-07-04,18481,11085,23668,8438,1015,666
2020-07-05,18836,11052,24196,8539,1024,671
2020-07-06,19345,11216,24725,8641,1030,676
2020-07-07,20181,11447,25254,8745,1041,681
2020-07-08,21185,11620,25826,8851,1053,686
2020-07-09,22207,11725,26441,8959,1076,691
2020-07-10,23080,11670,27100,9069,1095,696
2020-07-11,24098,11232,27759,9179,1113,701
2020-07-12,25046,11254,28418,9285,1119,706
2020-07-13,26198,11402,29077,9392,1136,711
2020-07-14,27418,11561,29631,9500,1166,716
