date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,1350,7038,535,538,105,105
2020-04-13,1338,6819,566,556,105,107
2020-04-14,1352,8095,629,574,111,109
2020-04-15,1401,7785,714,595,116,112
2020-04-16,1439,8378,823,615,127,115
2020-04-17,1486,8024,932,637,136,118
2020-04-18,1541,8396,1046,658,142,121
2020-04-19,1618,8144,1139,680,148,124
2020-04-20,1679,8404,1235,701,157,127
2020-04-21,1785,8109,1255,723,170,130
2020-04-22,1890,8322,1281,744,182,133
2020-04-23,2021,8093,1332,765,192,136
2020-04-24,2115,8288,1411,786,198,139
2020-04-25,2248,8136,1474,807,204,142
2020-04-26,2340,8393,1504,828,208,145
2020-04-27,2479,8192,1511,850,215,148
2020-04-28,2583,8380,1549,871,224,151
2020-04-29,2705,8243,1602,893,233,154
2020-04-30,2816,8407,1653,914,240,157
2020-05-01,2858,8262,1721,936,244,160
2020-05-02,2918,8483,1796,957,249,163
2020-05-03,2934,8495,1896,979,254,166
2020-05-04,3161,8695,1975,1001,263,169
2020-05-05,3364,8709,2030,1023,273,172
2020-05-06,3597,8899,2080,1045,284,175
2020-05-07,3706,8912,2120,1068,291,178
2020-05-08,3797,9110,2189,1091,299,181
2020-05-09,3830,9193,2254,1114,305,184
2020-05-10,3903,9460,2307,1138,309,187
2020-05-11,4011,9526,2330,1162,315,190
2020-05-12,4068,9753,2405,1187,321,193
2020-05-13,4141,9793,2510,1212,326,196
2020-05-14,4210,9992,2635,1237,329,199
2020-05-15,4419,10034,2700,1263,333,202
2020-05-16,4518,10453,2749,1289,339,205
2020-05-17,4639,10719,2787,1316,344,209
2020-05-18,4714,10990,2831,1344,352,213
2020-05-19,4823,11149,2872,1372,362,217
2020-05-20,4895,11328,2903,1401,376,221
2020-05-21,4961,11378,2948,1430,384,225
2020-05-22,5039,11388,2998,1459,390,229
2020-05-23,5068,11543,3062,1488,392,233
2020-05-24,5080,11714,3098,1518,393,237
2020-05-25,5188,11706,3116,1548,393,241
2020-05-26,5339,11878,3131,1578,396,245
2020-05-27,5518,11950,3152,1609,401,249
2020-05-28,5662,12134,3171,1640,409,253
2020-05-29,5834,12123,3197,1671,420,257
2020-05-30,5973,12389,3221,1702,430,261
2020-05-31,6128,12631,3253,1734,437,265
2020-06-01,6271,12818,3267,1767,440,269
2020-06-02,6493,12965,3277,1800,443,273
2020-06-03,6696,13127,3287,1833,450,277
2020-06-04,6939,13226,3300,1867,458,281
2020-06-05,7201,13264,3323,1901,465,285
2020-06-06,7372,13480,3342,1935,469,289
2020-06-07,7523,13758,3356,1970,471,293
2020-06-08,7656,13860,3361,2005,473,297
2020-06-09,7845,14005,3366,2041,477,301
2020-06-10,7983,14110,3378,2077,484,306
2020-06-11,8115,14171,3392,2113,491,311
2020-06-12,8283,14167,3405,2149,497,316
2020-06-13,8439,14443,3412,2185,501,321
2020-06-14,8592,14733,3414,2222,506,326
2020-06-15,8647,14871,3421,2260,511,331
2020-06-16,8818,15036,3430,2298,515,336
2020-06-17,8968,15102,3460,2337,518,341
2020-06-18,9207,15169,3488,2376,520,346
2020-06-19,9387,15142,3518,2415,522,351
2020-06-20,9559,15505,3527,2454,525,356
2020-06-21,9676,15895,3533,2494,530,361
2020-06-22,9822,15978,3553,2535,535,366
2020-06-23,9967,16239,3610,2576,537,371
2020-06-24,10161,16349,3672,2618,540,376
2020-06-25,10327,16518,3741,2660,545,381
2020-06-26,10534,16519,3796,2703,551,386
2020-06-27,10662,17000,3869,2746,555,391
2020-06-28,10776,17297,3915,2790,557,396
2020-06-29,10884,17348,3956,2835,561,401
2020-06-30,11046,17420,3993,2880,565,406
2020-07-01,11020,17344,4256,2925,572,411
2020-07-02,11007,17080,4512,2970,580,416
2020-07-03,10939,16753,4752,3014,586,421
2020-07-04,11014,16779,4772,3057,590,426
2020-07-05,11262,16706,4780,3100,592,431
2020-07-06,11616,16798,4803,3143,596,436
2020-07-07,12083,16951,4846,3186,601,441
2020-07-08,12390,17155,4897,3230,607,446
2020-07-09,12629,17230,5036,3274,613,451
2020-07-10,12885,17174,5176,3318,618,456
2020-07-11,13127,17346,5311,3362,622,461
2020-07-12,13422,17581,5340,3407,625,466
2020-07-13,13767,17615,5359,3452,629,471
2020-07-14,14146,17745,5402,3497,636,476
2020-07-15,14564,17771,5454,3543,643,481
2020-07-16,14555,17748,5915,3589,651,486
2020-07-17,14592,17451,6374,3635,658,491
2020-07-18,14819,17489,6832,3680,665,496
2020-07-19,15383,17667,6867,3725,669,501
2020-07-20,15981,17865,6893,3770,671,506
2020-07-21,16396,18013,6934,3816,674,511
2020-07-22,16913,18125,6991,3862,678,516
2020-07-23,17375,18072,7147,3909,684,521
2020-07-24,17962,17844,7295,3956,690,526
2020-07-25,18462,17833,7435,4002,695,531
2020-07-26,18985,17936,7458,4048,701,536
2020-07-27,19417,18053,7467,4094,709,541
2020-07-28,19947,18265,7477,4140,717,546
2020-07-29,20499,18390,7518,4187,724,551
2020-07-30,21169,18488,7522,4234,730,556
2020-07-31,21583,18357,7768,4282,735,561
2020-08-01,21930,18533,8017,4329,739,566
2020-08-02,22095,18494,8301,4377,742,571
2020-08-03,22527,18511,8358,4425,745,576
2020-08-04,22997,18469,8402,4473,749,581
2020-08-05,23511,18391,8465,4521,754,586
2020-08-06,23979,18216,8526,4568,758,591
2020-08-07,24505,17814,8606,4615,765,596
2020-08-08,25006,17507,8677,4661,769,600
2020-08-09,25438,17460,8727,4706,773,604
2020-08-10,25801,17368,8765,4751,777,608
2020-08-11,26399,17417,8816,4796,782,612
2020-08-12,27127,17330,8892,4841,789,616
2020-08-13,27888,17270,8959,4886,796,620
2020-08-14,28464,17046,9036,4930,804,624
2020-08-15,28806,17035,9101,4974,812,628
2020-08-16,29221,17131,9146,5018,816,632
2020-08-17,29635,17276,9183,5062,822,636
2020-08-18,30235,17491,9240,5106,830,640
2020-08-19,30791,17667,9317,5151,842,644
2020-08-20,31352,17806,9399,5196,854,648
2020-08-21,31993,17825,9460,5242,866,652
2020-08-22,32412,17971,9512,5288,875,656
2020-08-23,32928,18189,9533,5334,882,660
2020-08-24,33374,18357,9583,5381,887,664
2020-08-25,34027,18523,9645,5428,893,668
2020-08-26,34648,18562,9708,5476,902,672
2020-08-27,35169,18581,9909,5524,910,676
2020-08-28,35738,18576,10116,5572,916,680
2020-08-29,36203,18785,10330,5620,922,684
2020-08-30,36707,19121,10367,5668,927,688
2020-08-31,37212,19280,10389,5717,936,692
2020-09-01,37823,19547,10418,5767,949,696
