date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,1181,265,275,29,29
2020-04-13,976,1395,278,287,30,30
2020-04-14,1016,1584,313,301,34,31
2020-04-15,1062,1750,337,317,38,32
2020-04-16,1116,1897,363,335,42,33
2020-04-17,1202,2046,377,354,47,34
2020-04-18,1287,2174,409,375,50,35
2020-04-19,1370,2294,444,397,57,36
2020-04-20,1382,2409,484,420,63,37
2020-04-21,1477,2512,505,444,68,38
2020-04-22,1588,2596,525,469,73,39
2020-04-23,1726,2689,567,495,77,40
2020-04-24,1832,2784,603,522,85,41
2020-04-25,1904,2868,638,550,93,42
2020-04-26,1991,2971,646,579,100,43
2020-04-27,2082,3083,655,609,104,44
2020-04-28,2224,3190,673,640,107,46
2020-04-29,2385,3291,701,672,113,48
2020-04-30,2524,3397,733,705,122,50
2020-05-01,2663,3493,759,739,130,52
2020-05-02,2773,3580,785,774,140,54
2020-05-03,2914,3654,809,810,148,56
2020-05-04,3022,3760,828,847,156,58
2020-05-05,3112,3850,879,885,162,60
2020-05-06,3181,3936,959,924,167,62
2020-05-07,3257,4034,1054,963,174,64
2020-05-08,3338,4166,1129,1003,181,66
2020-05-09,3387,4299,1194,1045,190,68
2020-05-10,3457,4311,1247,1088,199,70
2020-05-11,3555,4351,1284,1131,209,72
2020-05-12,3657,4378,1339,1175,219,74
2020-05-13,3713,4415,1416,1219,230,76
2020-05-14,3759,4476,1508,1263,242,78
2020-05-15,3832,4552,1587,1308,251,80
2020-05-16,3894,4615,1662,1354,259,83
2020-05-17,3975,4653,1721,1400,264,86
2020-05-18,4042,4709,1763,1447,270,89
2020-05-19,4114,4755,1811,1494,276,92
2020-05-20,4156,4805,1887,1542,284,95
2020-05-21,4207,4883,1969,1590,295,98
2020-05-22,4210,5017,2058,1639,306,101
2020-05-23,4235,5119,2182,1689,314,104
2020-05-24,4223,5193,2323,1740,318,107
2020-05-25,4266,5295,2447,1792,320,110
2020-05-26,4296,5399,2516,1845,324,113
2020-05-27,4345,5457,2574,1899,329,116
2020-05-28,4405,5544,2628,1954,336,119
2020-05-29,4467,5671,2683,2010,343,122
2020-05-30,4503,5798,2749,2067,350,125
2020-05-31,4543,5869,2805,2125,356,128
2020-06-01,4618,5927,2858,2184,361,132
2020-06-02,4720,5938,2900,2243,368,136
2020-06-03,4844,5935,2953,2303,375,140
