date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,9574,2141,2170,330,334
2020-04-13,7808,10078,2287,2209,344,339
2020-04-14,8080,11594,2666,2252,377,345
2020-04-15,8262,12327,3135,2304,412,352
2020-04-16,8330,13712,3672,2363,450,359
2020-04-17,8292,14604,4224,2433,482,367
2020-04-18,8130,15902,4776,2511,509,376
2020-04-19,8122,16875,5282,2601,530,386
2020-04-20,8160,18125,5842,2702,554,396
2020-04-21,8258,19295,6511,2817,578,407
2020-04-22,8245,20654,7284,2946,612,419
2020-04-23,8141,21926,8174,3092,641,432
2020-04-24,7995,23297,9055,3256,668,446
2020-04-25,7656,24627,9968,3439,685,462
2020-04-26,7752,25997,10639,3643,703,479
2020-04-27,7958,27313,11239,3870,732,497
2020-04-28,8255,28711,12090,4121,767,516
2020-04-29,8332,30078,13074,4399,811,536
2020-04-30,8801,31547,13852,4705,849,558
2020-05-01,9260,32967,14378,5043,897,581
2020-05-02,9533,34413,14852,5413,937,605
2020-05-03,9512,35838,15508,5819,974,631
2020-05-04,9599,37168,16141,6262,996,658
2020-05-05,9927,38510,16834,6743,1019,687
2020-05-06,10325,39859,17617,7265,1044,717
2020-05-07,10878,41209,18419,7830,1075,749
2020-05-08,11514,42559,19259,8440,1109,782
2020-05-09,11779,43952,20120,9098,1145,817
2020-05-10,11588,45449,21259,9807,1177,853
2020-05-11,11393,46805,22385,10571,1209,891
2020-05-12,11609,48195,23218,11390,1237,931
2020-05-13,11957,49555,23841,12267,1278,972
2020-05-14,12018,50949,24486,13205,1323,1015
2020-05-15,11988,52319,25514,14206,1373,1060
2020-05-16,11935,53741,26541,15272,1409,1106
2020-05-17,12079,55169,27514,16407,1434,1154
2020-05-18,12178,56500,28433,17613,1458,1204
2020-05-19,12294,57791,29504,18890,1487,1256
2020-05-20,12416,59093,30454,20239,1520,1310
2020-05-21,12735,60366,31076,21663,1545,1366
2020-05-22,12935,61665,31574,23162,1561,1423
2020-05-23,12820,63090,32295,24740,1583,1482
2020-05-24,12014,64534,33651,26401,1605,1543
2020-05-25,11470,65835,35017,28147,1627,1606
2020-05-26,10963,66841,36431,29976,1647,1671
2020-05-27,10814,67870,37635,31881,1670,1738
2020-05-28,10229,68797,39258,33863,1694,1807
2020-05-29,9654,69739,40857,35920,1720,1877
2020-05-30,9284,70772,42030,38053,1743,1949
2020-05-31,9446,71858,42728,40266,1765,2023
2020-06-01,9881,72769,43426,42560,1784,2099
2020-06-02,10034,73714,44571,44930,1808,2176
2020-06-03,12386,74639,45724,47377,1841,2255
2020-06-04,15230,75548,46840,49900,1871,2336
2020-06-05,18192,76502,47853,52499,1900,2418
2020-06-06,18448,77673,49069,55175,1921,2502
2020-06-07,18293,78886,50161,57936,1937,2588
2020-06-08,19431,79774,50909,60782,1950,2676
2020-06-09,21554,80623,51576,63702,1970,2766
2020-06-10,23433,81434,52561,66694,1996,2858
2020-06-11,24473,82310,53934,69756,2024,2951
2020-06-12,24905,83316,55296,72890,2050,3046
2020-06-13,25162,84550,56711,76099,2072,3143
2020-06-14,26077,85767,57988,79393,2092,3242
2020-06-15,27826,86597,59370,82770,2122,3343
2020-06-16,30514,87281,60712,86214,2159,3446
2020-06-17,32561,87853,62287,89718,2198,3550
2020-06-18,34594,88398,63836,93277,2231,3656
2020-06-19,36556,89041,65412,96889,2262,3763
2020-06-20,38432,89869,66974,100557,2286,3871
2020-06-21,40494,90633,68261,104287,2309,3981
2020-06-22,43446,91058,69467,108076,2330,4093
2020-06-23,47218,91354,70934,111909,2360,4206
2020-06-24,50962,91644,72702,115780,2398,4320
2020-06-25,55537,91912,74558,119687,2440,4435
2020-06-26,59940,92296,76342,123628,2482,4551
2020-06-27,64531,92919,78168,127607,2518,4668
2020-06-28,69048,93601,79852,131633,2550,4786
2020-06-29,73816,94098,82042,135708,2578,4906
2020-06-30,78855,94580,84569,139824,2616,5027
2020-07-01,82345,95113,87698,143978,2662,5149
2020-07-02,85823,95732,90616,148173,2715,5272
2020-07-03,87947,96561,93907,152411,2762,5397
2020-07-04,90608,97593,97281,156701,2805,5523
2020-07-05,93564,98722,100685,161052,2847,5651
2020-07-06,97541,99540,104370,165467,2910,5781
2020-07-07,102141,100123,108517,169932,2989,5913
2020-07-08,106832,100590,113365,174436,3100,6046
2020-07-09,112219,101244,118202,178973,3197,6180
2020-07-10,116554,102013,123067,183551,3293,6315
2020-07-11,119727,103048,127838,188174,3371,6452
2020-07-12,123368,103882,132312,192855,3454,6590
2020-07-13,127112,104348,137151,197583,3540,6730
2020-07-14,131254,104742,142697,202342,3646,6871
2020-07-15,133639,105219,149203,207128,3779,7013
2020-07-16,134936,105791,155801,211944,3936,7156
2020-07-17,136278,106528,162569,216794,4088,7300
2020-07-18,137912,107644,168236,221685,4210,7445
2020-07-19,141193,108441,173462,226634,4319,7592
2020-07-20,143895,108940,179112,231627,4416,7740
2020-07-21,145877,109246,186571,236649,4576,7889
2020-07-22,146488,109509,195223,241691,4750,8038
2020-07-23,146735,109762,203785,246751,4960,8188
2020-07-24,145599,110159,212517,251828,5137,8338
2020-07-25,140625,110787,223501,256928,5304,8489
2020-07-26,136375,111431,234245,262062,5636,8641
2020-07-27,136725,111842,241892,267230,5988,8794
2020-07-28,140705,112132,246748,272422,6370,8947
2020-07-29,143721,112332,252112,277631,6609,9101
2020-07-30,142056,112475,261693,282853,6829,9255
2020-07-31,136306,112688,274582,288085,7057,9409
2020-08-01,129836,113072,286875,293330,7208,9563
2020-08-02,126325,113302,294952,298596,7370,9718
2020-08-03,129802,113427,300368,303876,7522,9873
2020-08-04,134084,113458,306445,309165,7784,10028
2020-08-05,137044,113478,315239,314458,8273,10183
2020-08-06,137115,113609,323708,319754,8777,10338
2020-08-07,140088,113812,331271,325059,9226,10493
2020-08-08,144633,114161,338285,330375,9421,10648
2020-08-09,151739,114685,344340,335710,9553,10803
2020-08-10,157236,114993,350996,341071,9615,10958
2020-08-11,160832,115189,358499,346448,9747,11113
2020-08-12,161276,115454,367142,351836,9926,11268
2020-08-13,163021,115726,375610,357238,10206,11423
2020-08-14,164679,116020,384247,362654,10449,11578
2020-08-15,165766,116448,392185,368086,10659,11733
2020-08-16,164908,117144,399551,373539,10786,11888
