date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,18312,540,547,145,148
2020-04-13,4986,18175,600,573,148,160
2020-04-14,5246,22436,731,599,166,172
2020-04-15,5530,22222,808,631,185,186
2020-04-16,5812,23720,937,663,211,200
2020-04-17,6149,23514,1096,697,232,215
2020-04-18,6572,24464,1201,731,255,230
2020-04-19,6977,24275,1273,766,278,246
2020-04-20,7418,25097,1336,801,300,262
2020-04-21,7891,24874,1413,837,324,278
2020-04-22,8456,25549,1494,873,348,294
2020-04-23,8997,25381,1578,909,377,310
2020-04-24,9593,26040,1652,945,407,326
2020-04-25,10144,25994,1734,982,432,343
2020-04-26,10719,26630,1791,1019,448,360
2020-04-27,11291,26586,1857,1057,467,377
2020-04-28,11855,27204,1933,1095,491,394
2020-04-29,12507,27224,2020,1134,522,411
2020-04-30,13238,27844,2114,1173,551,428
2020-05-01,14042,28006,2204,1213,583,446
2020-05-02,14816,28709,2335,1253,619,464
2020-05-03,15529,28961,2452,1294,653,482
2020-05-04,16191,29616,2588,1335,695,500
2020-05-05,16574,29860,2697,1377,731,519
2020-05-06,17145,30480,2790,1420,759,538
2020-05-07,17724,30755,2882,1464,783,557
2020-05-08,18585,31422,2982,1508,802,576
2020-05-09,19273,31802,3107,1553,826,596
2020-05-10,20078,32508,3199,1598,838,616
2020-05-11,20832,32910,3291,1644,860,636
2020-05-12,21573,33583,3409,1691,890,656
2020-05-13,22317,34005,3544,1739,925,677
2020-05-14,23110,34704,3679,1788,954,698
2020-05-15,23946,35190,3797,1838,979,719
2020-05-16,24682,35980,3902,1888,997,740
2020-05-17,25391,36576,4003,1939,1009,762
2020-05-18,26079,37307,4123,1991,1022,784
2020-05-19,26720,37820,4300,2044,1044,806
2020-05-20,27467,38517,4524,2098,1072,829
2020-05-21,28141,39074,4754,2153,1103,852
2020-05-22,28885,39863,4929,2209,1131,875
2020-05-23,29455,40513,5037,2266,1155,899
2020-05-24,30296,41388,5098,2324,1179,923
2020-05-25,31408,42092,5158,2383,1205,947
2020-05-26,32619,42815,5246,2443,1241,972
2020-05-27,33690,43407,5355,2504,1285,997
2020-05-28,34574,44132,5495,2566,1325,1022
2020-05-29,35539,44775,5621,2629,1355,1048
2020-05-30,36463,45517,5753,2693,1367,1074
2020-05-31,37322,46215,5837,2758,1379,1100
2020-06-01,38097,46954,5926,2824,1391,1126
2020-06-02,38746,47526,6025,2891,1409,1153
2020-06-03,39421,48167,6153,2959,1426,1180
2020-06-04,40042,48751,6280,3028,1442,1207
2020-06-05,40790,49369,6352,3098,1453,1234
2020-06-06,41637,49860,6437,3168,1462,1261
2020-06-07,42481,50538,6492,3239,1470,1289
2020-06-08,43152,51126,6590,3311,1481,1317
2020-06-09,43541,51727,6686,3384,1495,1345
2020-06-10,43878,52256,6799,3458,1510,1373
2020-06-11,44249,52806,6907,3533,1522,1401
2020-06-12,44702,53270,7009,3608,1531,1429
2020-06-13,45219,53694,7103,3684,1540,1457
2020-06-14,45695,54277,7179,3761,1546,1485
2020-06-15,46102,54936,7249,3838,1556,1514
2020-06-16,46429,55478,7333,3916,1568,1543
2020-06-17,46781,56010,7421,3995,1579,1572
2020-06-18,47183,56492,7495,4075,1590,1601
2020-06-19,47672,56980,7554,4156,1598,1630
2020-06-20,48199,57342,7605,4237,1606,1659
2020-06-21,48717,57936,7638,4319,1612,1688
2020-06-22,49181,58479,7678,4402,1625,1717
2020-06-23,49632,59011,7717,4485,1642,1746
2020-06-24,50055,59518,7769,4569,1660,1775
2020-06-25,50515,59999,7817,4654,1678,1804
2020-06-26,51004,60418,7884,4740,1699,1833
2020-06-27,51519,60760,7947,4826,1718,1862
2020-06-28,51994,61201,7998,4913,1732,1891
2020-06-29,52456,61687,8036,5000,1745,1920
2020-06-30,52885,62029,8078,5088,1763,1949
2020-07-01,53218,62297,8235,5177,1788,1978
2020-07-02,53516,62543,8446,5266,1815,2007
2020-07-03,53927,62741,8649,5355,1836,2036
2020-07-04,54485,63043,8745,5445,1853,2065
2020-07-05,55010,63367,8778,5535,1865,2094
2020-07-06,55485,63706,8835,5625,1876,2123
2020-07-07,55939,64060,8911,5716,1889,2152
2020-07-08,56464,64366,8996,5807,1907,2180
2020-07-09,57077,64706,9088,5899,1933,2208
2020-07-10,57773,64997,9175,5991,1952,2236
2020-07-11,58576,65288,9256,6084,1962,2264
2020-07-12,59430,65747,9303,6177,1965,2292
2020-07-13,60261,66277,9354,6271,1970,2320
2020-07-14,61132,66783,9426,6366,1979,2348
2020-07-15,61944,67150,9531,6461,1992,2376
2020-07-16,62775,67479,9684,6557,2004,2404
2020-07-17,63563,67570,9834,6653,2015,2432
2020-07-18,64433,67487,9958,6749,2021,2459
2020-07-19,65332,67815,10033,6845,2027,2486
2020-07-20,66238,68245,10119,6942,2035,2513
2020-07-21,67112,68686,10224,7039,2043,2540
2020-07-22,67934,69135,10348,7137,2051,2567
2020-07-23,68812,69609,10462,7236,2057,2594
2020-07-24,69720,69926,10618,7335,2065,2621
2020-07-25,70688,70196,10752,7435,2073,2647
2020-07-26,71797,70711,10874,7535,2078,2673
2020-07-27,72668,71221,11124,7636,2085,2699
2020-07-28,73539,71822,11380,7738,2100,2725
2020-07-29,74201,72318,11642,7841,2120,2751
2020-07-30,75011,72828,11771,7944,2146,2777
2020-07-31,75798,73311,11890,8048,2176,2803
2020-08-01,76600,73836,12017,8153,2206,2829
2020-08-02,77543,74432,12123,8258,2230,2855
2020-08-03,78558,75075,12249,8364,2239,2881
2020-08-04,79494,75689,12387,8471,2254,2907
2020-08-05,80269,76162,12514,8579,2272,2932
2020-08-06,81343,76641,12627,8688,2296,2957
2020-08-07,82600,77078,12734,8797,2312,2982
2020-08-08,83901,77507,12830,8907,2321,3007
2020-08-09,84774,78133,12909,9018,2325,3032
2020-08-10,85516,78813,13012,9130,2332,3057
2020-08-11,86210,79476,13120,9243,2341,3082
2020-08-12,87014,80094,13262,9356,2353,3107
2020-08-13,87928,80790,13371,9470,2361,3131
2020-08-14,88844,81417,13520,9585,2372,3155
2020-08-15,89728,82113,13651,9701,2379,3179
2020-08-16,90467,82807,13768,9818,2384,3203
2020-08-17,91235,83489,13840,9936,2388,3227
2020-08-18,91935,84111,13908,10055,2397,3251
2020-08-19,92653,84727,13996,10175,2411,3275
2020-08-20,93385,85346,14109,10296,2424,3299
2020-08-21,94270,85969,14231,10418,2435,3323
2020-08-22,95167,86639,14348,10541,2448,3346
2020-08-23,95999,87446,14426,10665,2460,3369
2020-08-24,96757,88319,14502,10790,2477,3392
2020-08-25,97491,89087,14581,10916,2493,3415
2020-08-26,98360,89834,14675,11043,2512,3438
2020-08-27,99236,90502,14770,11171,2530,3461
2020-08-28,100246,91148,14862,11300,2548,3484
2020-08-29,101214,91801,14940,11430,2562,3507
2020-08-30,102131,92552,15013,11561,2572,3530
2020-08-31,102971,93337,15094,11693,2587,3552
2020-09-01,103763,94259,15201,11826,2611,3574
2020-09-02,104651,95169,15304,11961,2635,3596
2020-09-03,105578,95979,15402,12097,2651,3618
2020-09-04,106530,96655,15507,12234,2663,3640
2020-09-05,107522,97277,15603,12372,2672,3662
2020-09-06,108375,98071,15687,12511,2679,3684
2020-09-07,109221,98994,15731,12651,2682,3705
2020-09-08,109907,99981,15826,12792,2689,3726
2020-09-09,110778,100898,15932,12935,2697,3747
2020-09-10,111722,101736,16057,13079,2705,3768
2020-09-11,112804,102600,16160,13224,2713,3789
2020-09-12,113812,103471,16243,13370,2719,3810
2020-09-13,114707,104402,16315,13518,2729,3831
2020-09-14,115492,105162,16373,13667,2768,3852
2020-09-15,116211,105578,16448,13817,2822,3872
2020-09-16,117011,105927,16552,13968,2881,3892
2020-09-17,117934,106411,16656,14119,2917,3912
2020-09-18,118892,106771,16760,14271,2953,3932
2020-09-19,119808,107084,16830,14423,2984,3951
2020-09-20,120549,107599,16877,14576,3008,3970
2020-09-21,121267,108237,16920,14730,3032,3989
2020-09-22,121883,108887,16973,14885,3056,4008
2020-09-23,122572,109406,17038,15040,3087,4027
2020-09-24,123286,109890,17107,15196,3112,4045
2020-09-25,124134,110255,17179,15353,3131,4063
2020-09-26,124888,110658,17294,15510,3146,4081
2020-09-27,125497,111262,17393,15668,3158,4099
2020-09-28,126079,111996,17500,15827,3172,4117
2020-09-29,126707,112519,17564,15987,3189,4134
2020-09-30,127322,112882,17640,16148,3207,4151
2020-10-01,127966,113187,17699,16309,3228,4168
2020-10-02,128730,113755,17758,16471,3249,4185
2020-10-03,129719,114291,17803,16633,3264,4201
2020-10-04,130620,114973,17850,16796,3273,4217
2020-10-05,131305,115576,17951,16960,3280,4233
2020-10-06,131789,116315,18064,17125,3290,4249
2020-10-07,132636,116995,18193,17291,3307,4265
2020-10-08,133699,117589,18267,17458,3325,4281
2020-10-09,135001,118163,18353,17626,3342,4296
2020-10-10,135979,118853,18425,17795,3352,4311
2020-10-11,136881,119674,18492,17965,3357,4326
2020-10-12,137772,120461,18562,18136,3363,4341
2020-10-13,138643,121211,18647,18308,3371,4356
2020-10-14,139660,121963,18745,18481,3380,4370
2020-10-15,140670,122593,18829,18655,3392,4384
2020-10-16,141783,123207,18912,18830,3406,4398
2020-10-17,142765,123767,18980,19006,3421,4412
2020-10-18,143589,124606,19042,19183,3437,4426
2020-10-19,144348,125590,19100,19361,3458,4440
2020-10-20,145135,126478,19164,19540,3485,4453
2020-10-21,146129,127275,19239,19721,3508,4466
2020-10-22,147210,128042,19317,19903,3526,4479
2020-10-23,148312,128636,19394,20086,3547,4492
2020-10-24,149317,129246,19460,20270,3565,4505
2020-10-25,150241,130360,19519,20455,3579,4518
2020-10-26,151164,131560,19601,20641,3586,4530
2020-10-27,152190,132845,19690,20829,3599,4542
2020-10-28,153392,134236,19773,21019,3617,4554
2020-10-29,154712,135596,19849,21211,3631,4566
2020-10-30,156103,136957,19923,21405,3644,4578
2020-10-31,157430,138362,19993,21601,3650,4590
2020-11-01,158620,139947,20058,21799,3655,4602
2020-11-02,159679,141523,20158,21999,3659,4614
2020-11-03,160710,143126,20267,22201,3667,4625
2020-11-04,161573,144675,20655,22405,3677,4636
2020-11-05,162578,146239,21009,22612,3682,4647
2020-11-06,163892,147690,21365,22821,3691,4658
2020-11-07,165476,149337,21433,23032,3697,4669
2020-11-08,166950,150906,21517,23245,3708,4680
2020-11-09,168197,152373,21609,23460,3715,4691
2020-11-10,169507,153796,21732,23678,3726,4702
2020-11-11,170880,155136,21860,23898,3741,4713
2020-11-12,172184,156449,21986,24120,3761,4723
2020-11-13,173486,157537,22096,24343,3780,4733
2020-11-14,174700,158712,22179,24568,3794,4743
2020-11-15,176396,160126,22268,24795,3801,4753
2020-11-16,178280,161639,22360,25024,3813,4763
2020-11-17,180437,163077,22474,25255,3833,4773
2020-11-18,182292,164491,22639,25488,3863,4783
2020-11-19,184295,165803,22799,25723,3889,4793
2020-11-20,186397,167086,22952,25960,3916,4802
2020-11-21,188627,168320,23044,26199,3931,4811
2020-11-22,191084,169700,23146,26439,3941,4820
2020-11-23,193557,170893,23294,26681,3954,4829
2020-11-24,196206,171649,23458,26925,3976,4838
2020-11-25,198631,172237,23624,27170,4005,4847
2020-11-26,200777,173237,23744,27416,4027,4856
2020-11-27,203091,173271,23854,27663,4042,4864
2020-11-28,205323,173824,23959,27910,4052,4872
2020-11-29,207668,174774,24072,28158,4058,4880
2020-11-30,209657,176285,24218,28408,4071,4888
2020-12-01,211633,177466,24404,28660,4089,4896
2020-12-02,213633,178763,24598,28913,4117,4904
2020-12-03,215847,179909,24800,29168,4140,4912
2020-12-04,218552,181331,24965,29425,4168,4919
2020-12-05,221901,182775,25116,29684,4185,4926
2020-12-06,225581,184425,25250,29945,4201,4933
2020-12-07,229383,185832,25279,30208,4222,4940
2020-12-08,233172,187244,25488,30473,4249,4947
2020-12-09,236982,188449,25693,30740,4292,4954
2020-12-10,240519,189616,26022,31009,4328,4961
2020-12-11,244114,190646,26213,31280,4371,4968
2020-12-12,247549,191941,26375,31552,4396,4975
2020-12-13,250962,193331,26518,31826,4411,4981
2020-12-14,254008,194858,26683,32102,4431,4987
2020-12-15,257233,195981,26869,32380,4464,4993
2020-12-16,260606,197723,27098,32660,4510,4999
2020-12-17,264075,199087,27279,32942,4553,5005
2020-12-18,267416,200336,27470,33226,4598,5011
2020-12-19,270811,201775,27628,33512,4630,5017
