date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2604,3307,658,695,93,94
2020-04-13,2450,4022,877,742,94,95
2020-04-14,2117,4736,1316,799,100,96
2020-04-15,1854,5434,1755,866,104,98
2020-04-16,1590,6105,2194,943,111,100
2020-04-17,1491,6750,2486,1029,115,102
2020-04-18,1351,7368,2772,1125,118,105
2020-04-19,1376,7953,2861,1229,120,108
2020-04-20,1209,8499,3089,1342,122,111
2020-04-21,1178,9031,3241,1462,129,114
2020-04-22,1058,9544,3509,1590,138,118
2020-04-23,1130,10025,3637,1725,149,122
2020-04-24,1187,10468,3736,1867,157,126
2020-04-25,1302,10886,3806,2015,165,130
2020-04-26,1370,11297,3912,2169,172,135
2020-04-27,1298,11685,4135,2329,181,140
2020-04-28,1184,12048,4359,2494,200,145
2020-04-29,1099,12393,4582,2665,222,150
2020-04-30,1116,12684,4718,2840,243,156
2020-05-01,1219,12959,4805,3020,255,162
2020-05-02,1346,13209,4844,3203,266,168
2020-05-03,1465,13429,4883,3390,275,174
2020-05-04,1534,13626,4922,3580,284,180
2020-05-05,1568,13805,4981,3773,294,187
2020-05-06,1605,13948,5062,3968,305,194
2020-05-07,1671,14076,5163,4165,313,201
2020-05-08,1493,14187,5530,4364,322,208
2020-05-09,1025,14278,6164,4565,327,215
2020-05-10,259,14395,7063,4767,335,222
2020-05-11,-216,14495,7662,4971,344,229
2020-05-12,-427,14577,7989,5176,354,237
2020-05-13,-431,14641,8117,5382,362,245
2020-05-14,-408,14662,8245,5589,371,253
2020-05-15,-333,14620,8373,5796,379,261
2020-05-16,-223,14473,8467,6003,384,269
2020-05-17,-142,14351,8561,6208,387,277
2020-05-18,-109,14277,8656,6411,391,285
2020-05-19,-94,14207,8752,6613,399,293
2020-05-20,-52,14130,8849,6814,407,301
2020-05-21,33,13985,8950,7014,414,309
2020-05-22,164,13729,9053,7212,420,317
2020-05-23,289,13284,9160,7406,426,325
2020-05-24,391,12878,9231,7594,433,333
2020-05-25,470,12534,9319,7776,440,341
2020-05-26,542,12262,9412,7953,450,349
2020-05-27,604,12070,9544,8127,460,356
2020-05-28,707,11893,9666,8298,473,363
2020-05-29,831,11690,9792,8466,480,370
2020-05-30,1052,11397,9921,8631,488,377
2020-05-31,1257,11192,10050,8792,493,384
2020-06-01,1460,10980,10178,8950,502,391
2020-06-02,1509,10782,10303,9105,513,398
2020-06-03,1461,10590,10427,9258,526,405
2020-06-04,1667,10388,10558,9408,535,412
2020-06-05,1868,10185,10696,9555,542,419
2020-06-06,2344,9916,10841,9699,544,426
2020-06-07,2643,9718,10986,9839,549,433
2020-06-08,3046,9545,11167,9977,557,440
2020-06-09,3312,9364,11383,10112,566,446
2020-06-10,3597,9230,11634,10245,577,452
2020-06-11,3981,9065,11889,10376,585,458
2020-06-12,4445,8915,12149,10504,593,464
2020-06-13,4963,8735,12412,10630,597,470
2020-06-14,5433,8606,12675,10754,600,476
2020-06-15,5816,8451,12967,10876,603,482
2020-06-16,6075,8344,13290,10996,608,488
2020-06-17,6435,8291,13642,11114,615,494
2020-06-18,6936,8206,14003,11231,625,500
2020-06-19,7622,8140,14375,11347,634,506
2020-06-20,8272,7945,14757,11462,645,512
2020-06-21,8902,7781,15139,11574,652,518
2020-06-22,9451,7686,15520,11684,661,524
2020-06-23,10139,7559,15900,11793,671,530
2020-06-24,10866,7415,16280,11900,683,535
2020-06-25,11692,7275,16701,12005,690,540
2020-06-26,12569,7233,17163,12108,699,545
2020-06-27,13489,7110,17667,12210,707,550
2020-06-28,14414,7113,18171,12311,715,555
2020-06-29,15385,7103,18676,12412,725,560
2020-06-30,16396,7121,19182,12513,741,565
2020-07-01,17552,7151,19690,12614,763,570
2020-07-02,18724,7199,20211,12715,781,575
2020-07-03,19998,7279,20744,12817,796,580
2020-07-04,21155,7255,21291,12920,808,585
2020-07-05,22212,7370,21838,13023,820,590
2020-07-06,22962,7474,22399,13127,831,596
2020-07-07,23718,7586,22976,13233,852,602
2020-07-08,24537,7703,23568,13340,878,608
2020-07-09,25804,7792,23962,13449,906,614
2020-07-10,27514,7945,24160,13559,928,620
2020-07-11,28998,7980,24642,13671,947,626
2020-07-12,29936,8125,25607,13784,961,632
