date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,1268,1414,117,128,31,31
2020-04-13,1244,1607,156,140,32,31
2020-04-14,1185,1827,234,153,35,31
2020-04-15,1158,2058,312,168,38,31
2020-04-16,1151,2297,364,185,41,31
2020-04-17,1164,2527,411,204,42,31
2020-04-18,1147,2754,454,225,43,31
2020-04-19,1102,2967,519,248,44,31
2020-04-20,1059,3171,588,273,45,31
2020-04-21,1025,3358,651,300,48,31
2020-04-22,1016,3533,712,328,51,31
2020-04-23,977,3698,793,358,54,31
2020-04-24,939,3849,869,389,56,31
2020-04-25,901,3981,926,421,57,31
2020-04-26,882,4088,953,454,58,31
2020-04-27,870,4200,986,488,59,31
2020-04-28,836,4300,1036,523,61,31
2020-04-29,818,4379,1082,559,62,32
2020-04-30,794,4446,1127,596,62,33
2020-05-01,787,4509,1170,633,63,34
2020-05-02,747,4556,1234,671,64,35
2020-05-03,717,4619,1295,709,64,36
2020-05-04,692,4688,1342,748,64,37
2020-05-05,700,4750,1365,787,65,38
2020-05-06,710,4803,1378,827,66,39
2020-05-07,705,4841,1399,867,67,40
2020-05-08,699,4863,1420,907,68,41
2020-05-09,685,4859,1450,948,69,42
2020-05-10,682,4870,1480,989,69,43
2020-05-11,689,4900,1502,1030,70,44
2020-05-12,695,4932,1517,1071,70,45
2020-05-13,708,4965,1533,1112,71,46
2020-05-14,704,4997,1555,1154,72,47
2020-05-15,728,5012,1572,1196,73,48
2020-05-16,726,4994,1597,1238,73,49
2020-05-17,735,4995,1622,1280,74,50
2020-05-18,726,5027,1642,1322,75,51
2020-05-19,741,5066,1655,1364,76,52
2020-05-20,743,5100,1668,1406,78,53
2020-05-21,765,5115,1692,1449,78,54
2020-05-22,772,5082,1714,1492,79,55
2020-05-23,751,5022,1775,1535,79,56
2020-05-24,672,4943,1863,1577,80,57
2020-05-25,561,4862,1985,1618,80,58
2020-05-26,509,4886,2061,1659,80,59
2020-05-27,489,4896,2128,1700,81,60
2020-05-28,505,4905,2160,1741,81,61
2020-05-29,498,4877,2201,1782,82,62
2020-05-30,497,4850,2225,1823,82,63
