date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,22959,22455,440,816,1540,1603
2020-04-13,23539,21997,471,1184,1616,1664
2020-04-14,24603,21559,532,1544,1763,1724
2020-04-15,25472,21162,589,1897,1895,1783
2020-04-16,26294,20779,621,2244,2048,1841
2020-04-17,25960,20421,1737,2584,2177,1898
2020-04-18,25342,20077,3096,2918,2308,1954
2020-04-19,24321,19753,4695,3247,2389,2009
2020-04-20,24128,19455,5424,3571,2478,2063
2020-04-21,24105,19190,6154,3890,2618,2116
2020-04-22,24305,18949,6883,4204,2788,2168
2020-04-23,24731,18721,7612,4514,2958,2219
2020-04-24,24818,18514,8447,4821,3072,2270
2020-04-25,24592,18315,9387,5124,3185,2320
2020-04-26,23963,18072,10432,5424,3292,2369
2020-04-27,23509,17856,11477,5720,3430,2417
2020-04-28,23219,17642,12523,6012,3548,2465
2020-04-29,23103,17466,13568,6301,3675,2512
2020-04-30,22990,17305,14613,6587,3775,2558
2020-05-01,22777,17189,15645,6870,3892,2604
2020-05-02,22479,17052,16662,7152,3980,2649
2020-05-03,21929,16936,17666,7431,4071,2694
2020-05-04,21285,16890,18670,7708,4125,2738
2020-05-05,20674,16859,19674,7985,4192,2782
2020-05-06,20186,16829,20678,8261,4261,2826
2020-05-07,19755,16823,21682,8537,4333,2870
2020-05-08,19276,16840,22615,8813,4424,2913
2020-05-09,18822,16845,23478,9089,4494,2956
2020-05-10,18356,16838,24271,9365,4556,2999
2020-05-11,17918,16886,25063,9641,4604,3042
2020-05-12,17475,16946,25856,9918,4657,3085
2020-05-13,17291,17008,26648,10196,4725,3128
2020-05-14,17134,17098,27441,10475,4775,3170
2020-05-15,17031,17191,28204,10755,4831,3212
2020-05-16,16783,17287,28938,11037,4865,3254
2020-05-17,16660,17394,29643,11320,4895,3296
2020-05-18,16513,17506,30348,11605,4941,3338
2020-05-19,16374,17633,31053,11892,4997,3380
2020-05-20,16130,17773,31758,12181,5068,3422
2020-05-21,15899,17914,32463,12472,5115,3464
2020-05-22,15592,18065,33167,12765,5170,3507
2020-05-23,15244,18173,33872,13061,5203,3550
2020-05-24,14835,18224,34576,13359,5230,3592
2020-05-25,14362,18301,35281,13657,5245,3634
2020-05-26,13932,18440,35985,13957,5280,3676
2020-05-27,13561,18608,36690,14259,5324,3718
2020-05-28,13317,18796,37394,14564,5370,3760
2020-05-29,13069,18996,38051,14872,5414,3802
2020-05-30,12880,19221,38662,15183,5453,3844
2020-05-31,12584,19367,39225,15498,5490,3886
2020-06-01,12245,19514,39788,15815,5520,3928
2020-06-02,11869,19674,40351,16135,5546,3970
2020-06-03,11516,19881,40914,16457,5572,4012
2020-06-04,12867,20097,41477,16783,5673,4054
2020-06-05,14309,20340,41992,17112,5781,4096
2020-06-06,15878,20581,42458,17445,5882,4139
2020-06-07,15829,20758,42876,17782,5902,4182
2020-06-08,15650,20928,43293,18122,5920,4225
2020-06-09,15391,21098,43711,18465,5939,4267
2020-06-10,15119,21301,44128,18811,5962,4309
2020-06-11,14912,21513,44546,19160,5976,4351
2020-06-12,14626,21801,45030,19512,5996,4393
2020-06-13,14266,22090,45582,19869,6006,4435
2020-06-14,13776,22307,46200,20231,6015,4477
2020-06-15,13296,22512,46818,20596,6022,4519
2020-06-16,12818,22722,47436,20965,6029,4561
