date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,769,2423,14,32,19,19
2020-04-13,796,2290,19,89,19,20
2020-04-14,821,2297,29,143,20,21
2020-04-15,857,2271,39,197,20,22
2020-04-16,903,2263,48,251,22,23
2020-04-17,1006,2249,58,305,25,24
2020-04-18,1168,2245,68,358,27,25
2020-04-19,1349,2252,78,411,30,26
2020-04-20,1482,2248,87,464,33,27
2020-04-21,1581,2239,97,517,37,28
2020-04-22,1752,2229,107,570,41,29
2020-04-23,1983,2223,117,623,46,30
2020-04-24,2269,2217,127,676,52,31
2020-04-25,2531,2228,136,729,56,32
2020-04-26,2830,2292,146,782,59,33
2020-04-27,3082,2333,156,836,63,34
2020-04-28,3343,2362,166,891,66,35
2020-04-29,3640,2392,175,947,68,36
2020-04-30,4124,2420,185,1004,71,37
2020-05-01,4599,2459,195,1061,74,38
2020-05-02,5045,2511,205,1119,78,39
2020-05-03,5376,2563,214,1178,81,40
2020-05-04,5718,2600,221,1239,84,41
2020-05-05,5980,2639,299,1301,87,42
2020-05-06,6260,2681,449,1364,89,43
2020-05-07,6515,2719,674,1428,91,44
2020-05-08,6756,2758,899,1492,93,45
2020-05-09,6809,2808,1123,1557,95,46
2020-05-10,6778,2830,1348,1624,97,47
2020-05-11,6699,2836,1573,1691,98,48
2020-05-12,6717,2836,1798,1758,102,49
2020-05-13,6772,2832,2022,1825,107,50
2020-05-14,6902,2831,2247,1892,111,51
2020-05-15,7107,2836,2472,1959,117,52
2020-05-16,7182,2865,2697,2026,123,53
2020-05-17,7289,2910,2921,2094,130,54
2020-05-18,7272,2929,3146,2163,134,55
2020-05-19,7358,2952,3371,2232,138,56
2020-05-20,7396,2972,3596,2302,142,57
2020-05-21,7437,2993,3821,2372,145,58
2020-05-22,7491,3036,4045,2443,148,59
2020-05-23,7500,3118,4270,2515,149,60
2020-05-24,7508,3193,4495,2589,150,61
2020-05-25,7500,3278,4720,2665,151,62
2020-05-26,7559,3332,4944,2743,152,63
2020-05-27,7625,3362,5169,2822,156,64
2020-05-28,7739,3392,5394,2902,160,65
2020-05-29,7815,3424,5619,2982,166,66
2020-05-30,7870,3467,5843,3063,171,67
2020-05-31,7873,3530,6068,3145,176,68
2020-06-01,7881,3569,6293,3229,180,69
2020-06-02,7914,3597,6518,3314,183,70
2020-06-03,7940,3620,6755,3399,185,71
2020-06-04,7841,3658,7115,3485,187,72
2020-06-05,7665,3711,7520,3572,187,73
2020-06-06,7424,3778,7936,3660,187,74
2020-06-07,7265,3879,8222,3750,187,75
2020-06-08,7152,3900,8449,3842,188,76
2020-06-09,7094,3909,8637,3934,189,77
2020-06-10,7099,3921,8801,4027,197,78
2020-06-11,7094,3945,8998,4120,206,79
2020-06-12,7016,3996,9261,4213,215,80
2020-06-13,6840,4069,9572,4308,218,81
2020-06-14,6651,4162,9870,4404,219,82
2020-06-15,6533,4187,10117,4503,223,83
2020-06-16,6479,4208,10333,4602,228,84
2020-06-17,6446,4215,10547,4702,234,85
2020-06-18,6387,4233,10785,4802,239,86
2020-06-19,6279,4258,11046,4902,244,87
2020-06-20,6141,4297,11314,5003,247,88
2020-06-21,6028,4378,11551,5105,248,89
2020-06-22,5934,4408,11773,5209,251,90
2020-06-23,5853,4441,11987,5313,254,92
2020-06-24,5799,4457,12166,5418,257,94
2020-06-25,5824,4479,12278,5524,261,96
2020-06-26,5842,4512,12442,5630,264,98
2020-06-27,5777,4568,12688,5737,267,100
2020-06-28,5613,4661,13024,5845,268,102
2020-06-29,5462,4700,13307,5955,270,104
2020-06-30,5368,4698,13535,6066,273,106
2020-07-01,5339,4687,13697,6177,277,108
2020-07-02,5339,4672,13855,6288,280,110
2020-07-03,5354,4687,14009,6399,283,112
2020-07-04,5334,4784,14187,6510,284,114
2020-07-05,5257,4869,14393,6623,284,116
2020-07-06,5194,4868,14580,6738,284,118
2020-07-07,5166,4857,14775,6853,283,120
2020-07-08,5228,4847,14905,6968,283,122
2020-07-09,5270,4857,15054,7083,284,124
2020-07-10,5269,4858,15245,7198,285,126
2020-07-11,5220,4898,15476,7313,286,128
