date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,911,1042,1011,1011,97,98
2020-04-13,946,1197,1027,1011,101,99
2020-04-14,984,1360,1078,1011,110,100
2020-04-15,1010,1529,1138,1012,120,101
2020-04-16,1003,1689,1228,1015,130,102
2020-04-17,931,1843,1362,1022,136,103
2020-04-18,887,1979,1473,1038,139,105
2020-04-19,861,2085,1568,1072,141,107
2020-04-20,905,2169,1630,1136,149,109
2020-04-21,938,2213,1696,1238,159,111
2020-04-22,949,2230,1786,1374,171,113
2020-04-23,959,2229,1872,1532,179,115
2020-04-24,948,2211,1975,1702,187,117
2020-04-25,937,2183,2060,1876,192,119
2020-04-26,920,2199,2128,2050,195,121
2020-04-27,928,2243,2188,2226,199,123
2020-04-28,934,2286,2248,2407,206,125
2020-04-29,960,2343,2326,2591,214,127
2020-04-30,996,2398,2395,2780,222,129
2020-05-01,1034,2422,2474,2973,231,131
2020-05-02,1067,2436,2552,3168,238,133
2020-05-03,1088,2417,2623,3364,244,135
2020-05-04,1086,2456,2715,3559,246,137
2020-05-05,1068,2502,2807,3757,249,139
2020-05-06,1058,2560,2908,3959,253,141
2020-05-07,1073,2623,2986,4165,259,143
2020-05-08,1082,2711,3067,4377,265,145
2020-05-09,1092,2809,3140,4596,269,148
2020-05-10,1093,2867,3199,4823,272,151
2020-05-11,1080,2950,3289,5054,275,154
2020-05-12,1048,3036,3407,5292,279,157
2020-05-13,1021,3113,3547,5537,283,160
2020-05-14,1012,3186,3673,5788,284,163
2020-05-15,1007,3275,3802,6045,286,166
2020-05-16,1014,3374,3909,6309,288,169
2020-05-17,1046,3414,3978,6581,291,172
2020-05-18,1065,3514,4042,6856,292,175
2020-05-19,1042,3607,4136,7139,295,178
2020-05-20,1015,3711,4254,7430,298,182
2020-05-21,998,3834,4386,7729,303,186
2020-05-22,1009,3957,4513,8038,307,190
2020-05-23,1016,4051,4622,8357,310,194
2020-05-24,1035,4072,4682,8684,312,198
2020-05-25,1033,4132,4741,9012,314,202
2020-05-26,945,4270,4890,9345,317,206
2020-05-27,828,4367,5064,9689,321,210
2020-05-28,718,4468,5237,10041,325,214
2020-05-29,677,4627,5337,10401,329,219
2020-05-30,635,4753,5422,10774,334,224
2020-05-31,653,4775,5479,11157,337,229
2020-06-01,689,4901,5534,11542,338,234
2020-06-02,744,4976,5607,11937,339,239
2020-06-03,749,5021,5711,12338,341,244
2020-06-04,763,5040,5800,12743,343,249
2020-06-05,794,5043,5852,13150,345,254
2020-06-06,820,5021,5905,13557,347,259
2020-06-07,834,4742,5954,13962,350,264
2020-06-08,864,4722,6022,14344,353,269
2020-06-09,912,4715,6084,14725,354,274
2020-06-10,967,4726,6167,15105,356,279
2020-06-11,1021,4730,6273,15486,358,284
2020-06-12,1107,4711,6383,15868,359,289
2020-06-13,1203,4675,6488,16248,360,294
2020-06-14,1312,4643,6567,16625,361,299
2020-06-15,1412,4722,6657,16999,362,304
2020-06-16,1476,4765,6816,17380,363,309
2020-06-17,1594,4832,7010,17764,364,314
2020-06-18,1798,4905,7159,18154,365,319
2020-06-19,2054,5003,7279,18550,367,324
2020-06-20,2334,5100,7385,18954,368,329
2020-06-21,2529,5391,7531,19365,369,335
2020-06-22,2701,5680,7689,19800,370,341
2020-06-23,2827,5932,7893,20258,371,347
2020-06-24,2945,6156,8179,20736,372,353
2020-06-25,3072,6366,8489,21233,374,360
2020-06-26,3109,6525,8826,21746,378,367
2020-06-27,3141,6658,9123,22272,382,374
2020-06-28,3158,6705,9379,22809,385,381
2020-06-29,3218,6816,9689,23350,386,388
2020-06-30,3204,6919,10092,23900,387,395
2020-07-01,3166,6981,10579,24458,390,403
2020-07-02,3122,7020,11057,25021,394,411
2020-07-03,3175,7021,11510,25587,397,419
2020-07-04,3241,6902,11910,26153,398,427
2020-07-05,3368,6894,12214,26710,398,435
2020-07-06,3543,7027,12561,27266,400,443
2020-07-07,3764,7159,12991,27833,403,451
2020-07-08,3916,7293,13547,28410,407,459
2020-07-09,3988,7330,14095,28998,411,467
2020-07-10,4079,7397,14628,29589,415,475
2020-07-11,4194,7397,15089,30186,419,483
2020-07-12,4353,7367,15478,30783,422,491
2020-07-13,4505,7446,15978,31377,424,499
2020-07-14,4733,7453,16605,31978,428,507
2020-07-15,4867,7538,17365,32579,432,515
2020-07-16,4951,7660,18075,33187,438,523
2020-07-17,5086,7766,18682,33805,444,531
2020-07-18,5233,7833,19139,34431,449,540
2020-07-19,5027,7421,19775,35063,451,549
2020-07-20,4643,7140,20578,35662,455,557
2020-07-21,4603,6902,21288,36238,462,565
2020-07-22,4850,6763,21877,36795,470,573
2020-07-23,5211,6689,22438,37340,478,580
2020-07-24,5311,6678,23257,37880,487,587
2020-07-25,5655,6678,24009,38419,496,594
2020-07-26,6179,6594,24667,38958,504,601
2020-07-27,6637,6634,25437,39490,507,608
2020-07-28,6848,6680,26333,40025,513,615
2020-07-29,6804,6753,27386,40564,522,622
2020-07-30,6755,6775,28328,41109,533,629
2020-07-31,6817,6800,29293,41655,542,636
2020-08-01,6839,6798,30096,42203,546,643
2020-08-02,6881,6741,30755,42751,550,650
2020-08-03,6774,6736,31434,43295,555,657
2020-08-04,6688,6712,32289,43838,566,664
2020-08-05,6556,6715,33340,44379,580,671
2020-08-06,6580,6701,34234,44921,592,678
2020-08-07,6624,6672,35022,45461,599,685
2020-08-08,6765,6587,35599,45999,603,692
2020-08-09,6874,6440,36058,46530,604,699
2020-08-10,6935,6388,36541,47049,609,706
2020-08-11,6894,6271,37186,47564,616,713
2020-08-12,6837,6194,37945,48070,627,720
2020-08-13,6855,6109,38641,48570,636,727
2020-08-14,7005,6049,39281,49063,646,733
2020-08-15,7221,5975,39804,49551,654,739
2020-08-16,7402,6407,40220,50033,661,745
2020-08-17,7412,6810,40708,50550,668,752
2020-08-18,7318,7106,41316,51099,681,759
2020-08-19,7236,7346,42037,51672,695,766
2020-08-20,7353,7733,42719,52265,707,774
2020-08-21,7573,7936,43382,52889,716,782
2020-08-22,7828,8138,43953,53529,722,790
2020-08-23,8000,8086,44368,54185,727,798
2020-08-24,8025,8065,44861,54837,733,806
2020-08-25,7902,8081,45530,55488,745,814
2020-08-26,7720,8091,46372,56140,761,822
2020-08-27,7654,8097,47120,56793,775,830
2020-08-28,7749,8153,47851,57446,787,838
2020-08-29,8016,8276,48434,58104,794,846
2020-08-30,8362,8155,48908,58772,798,854
2020-08-31,8580,8166,49368,59430,802,862
2020-09-01,8668,8143,49939,60089,809,870
2020-09-02,8666,8161,50694,60746,821,878
2020-09-03,8822,8286,51405,61404,834,886
2020-09-04,9138,8528,52103,62072,843,894
