date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2186,2237,132,222,15,16
2020-04-13,2154,2285,191,314,16,17
2020-04-14,2115,2343,310,408,17,18
2020-04-15,2188,2409,341,505,20,19
2020-04-16,2267,2482,385,604,22,20
2020-04-17,2319,2560,455,706,23,21
2020-04-18,2339,2659,562,812,25,22
2020-04-19,2367,2751,673,922,26,23
2020-04-20,2383,2844,781,1036,29,24
2020-04-21,2408,2952,878,1153,32,25
2020-04-22,2448,3065,969,1275,34,26
2020-04-23,2487,3177,1090,1402,36,27
2020-04-24,2509,3311,1233,1533,38,28
2020-04-25,2504,3458,1406,1670,41,29
2020-04-26,2523,3593,1536,1813,43,30
2020-04-27,2553,3720,1637,1961,44,32
2020-04-28,2604,3856,1711,2115,44,34
2020-04-29,2648,3987,1811,2274,45,36
2020-04-30,2688,4118,1930,2439,47,38
2020-05-01,2718,4221,2062,2609,48,40
2020-05-02,2785,4332,2161,2783,50,42
2020-05-03,2852,4439,2255,2962,52,44
2020-05-04,2936,4537,2322,3145,55,46
2020-05-05,2985,4633,2412,3332,56,48
2020-05-06,3018,4742,2512,3523,59,50
2020-05-07,3045,4854,2639,3719,62,52
2020-05-08,3080,4973,2770,3919,65,54
2020-05-09,3124,5091,2901,4124,66,56
2020-05-10,3133,5198,3038,4334,67,58
2020-05-11,3119,5295,3160,4549,69,60
2020-05-12,3115,5383,3284,4768,72,62
2020-05-13,3112,5484,3413,4990,75,64
2020-05-14,3121,5593,3563,5216,76,66
2020-05-15,3106,5727,3727,5447,77,68
2020-05-16,3098,5854,3896,5683,79,70
2020-05-17,3056,5975,4091,5925,83,72
2020-05-18,3027,6073,4267,6172,86,74
2020-05-19,3066,6175,4383,6423,88,77
2020-05-20,3130,6294,4480,6678,90,80
2020-05-21,3200,6420,4589,6938,91,83
2020-05-22,3222,6588,4747,7203,94,86
2020-05-23,3231,6772,4909,7475,96,89
2020-05-24,3229,6952,5065,7755,97,92
2020-05-25,3197,7099,5215,8042,99,95
2020-05-26,3160,7150,5354,8335,101,98
2020-05-27,3156,7202,5489,8630,104,101
2020-05-28,3212,7263,5645,8927,106,104
2020-05-29,3321,7378,5810,9227,108,107
2020-05-30,3439,7527,5981,9532,111,110
2020-05-31,3535,7653,6127,9843,114,113
2020-06-01,3649,7743,6235,10159,115,116
2020-06-02,3758,7766,6357,10479,117,119
2020-06-03,3904,7795,6482,10800,118,122
2020-06-04,4096,7831,6639,11122,119,125
2020-06-05,4382,7887,6785,11445,120,128
2020-06-06,4638,7935,6945,11771,122,131
2020-06-07,4839,8011,7100,12099,123,134
2020-06-08,4939,8072,7251,12430,125,137
2020-06-09,5044,8112,7411,12763,126,140
2020-06-10,5189,8157,7574,13098,128,143
2020-06-11,5343,8224,7755,13435,133,146
2020-06-12,5535,8340,7931,13775,137,149
2020-06-13,5716,8492,8100,14119,141,152
2020-06-14,5910,8582,8248,14470,142,155
2020-06-15,6109,8596,8367,14824,143,158
2020-06-16,6351,8605,8467,15179,145,161
2020-06-17,6623,8627,8602,15534,148,164
2020-06-18,6900,8636,8817,15890,152,167
2020-06-19,7193,8675,9096,16247,155,170
2020-06-20,7440,8732,9387,16605,158,173
2020-06-21,7681,8793,9637,16965,160,176
2020-06-22,7868,8788,9859,17328,162,179
2020-06-23,8083,8751,10084,17691,163,182
2020-06-24,8312,8729,10344,18052,163,185
2020-06-25,8547,8738,10691,18412,164,188
2020-06-26,8720,8781,11132,18773,165,191
2020-06-27,8863,8839,11562,19136,167,194
