t,R_mean,R_low,R_high
21,1.448362273233757,1.4335026319247524,1.4632974759786843
22,1.4226420858717048,1.4084633626491179,1.4368908377883645
23,1.3511378796526132,1.337808272072999,1.3645326516731324
24,1.2846016486800047,1.272039469190927,1.2972247002943689
25,1.230513633040425,1.2186020757509322,1.2424823232278615
26,1.1889414836947765,1.177554345675084,1.2003826575820051
27,1.1583243337280367,1.1473397870388606,1.1693604896204812
28,1.137526829232004,1.1268393541285298,1.1482640508537403
29,1.125882115984696,1.115407042499389,1.1364054703963762
30,1.1171516666847254,1.1068489800376913,1.1275014213148424
31,1.1128866453393456,1.1027195115467143,1.1230997904028386
32,1.1129830968135437,1.1029217623883996,1.1230894838528698
33,1.1199751085156624,1.1099824269921592,1.1300119499013506
34,1.1271369196235406,1.1172090907278127,1.1371080576263886
35,1.1289316183538416,1.119092375063591,1.1388133317308717
36,1.1302875787446844,1.1205425375515081,1.1400742287725485
37,1.1287343553153135,1.1191011154256918,1.1384083089776076
38,1.1273112690850298,1.117791916624983,1.1368704267475844
39,1.1270585504669757,1.1176475150644352,1.1365084972721928
40,1.1281421535974792,1.118831166153204,1.1374911911019314
41,1.1284666249764335,1.1192558989609633,1.137714573619623
42,1.1290574341165058,1.119944092189954,1.1382071950244175
43,1.1290734888737453,1.1200593457342078,1.1381232604050764
44,1.1282304223013595,1.119318723410091,1.1371769689183402
45,1.1281885245791479,1.1193755632119626,1.1370355655461744
46,1.131524557368381,1.1227961755854243,1.1402862675799073
47,1.1313020089885446,1.1226705936725203,1.1399660213826532
48,1.1282872022934578,1.1197622474016193,1.1368440389077246
49,1.1245477141421136,1.1161316363144966,1.132994966750306
50,1.1198542191654741,1.1115498210054908,1.1281890964093824
51,1.1163004379281154,1.1081009211593722,1.1245297623191526
52,1.1146816827241748,1.1065758737358116,1.1228166631588383
53,1.1148945360741487,1.106871377684543,1.1229462675246278
54,1.1123015087321717,1.104367469866133,1.1202635536761687
55,1.1069614926692035,1.099124078546687,1.114826365990184
56,1.1028529845153707,1.0951065356837986,1.1106263580164701
57,1.096699646663573,1.089049433000377,1.104376266879095
58,1.091390652749567,1.0838301961504169,1.09897702473515
59,1.0872416772991849,1.079762515801041,1.094746296029723
60,1.0842229126694578,1.076816563551394,1.0916542946719934
61,1.0824164755000574,1.0750746737964203,1.0897829161217674
62,1.0796449032683664,1.0723676760285064,1.0869463995443611
63,1.0750076452060127,1.0677989405245747,1.08224026635545
64,1.0706937802733159,1.0635507593812512,1.0778603779890032
65,1.0660344117570184,1.0589562785071558,1.0731357962484698
66,1.0626461557960614,1.055625936990666,1.0696893194580304
67,1.0596275917127902,1.0526607701212367,1.0666170744595957
68,1.0593833639051442,1.052457612732078,1.0663315145884893
69,1.0600348389397403,1.0531446785025396,1.0669471552229544
70,1.0608787083052604,1.0540218529972216,1.0677574879352567
71,1.0622964412651992,1.0554704907421528,1.069144089521071
72,1.0636310326172476,1.056836617144974,1.070446918428023
73,1.06577909012651,1.059014356353631,1.0725650637347497
74,1.0672030682946725,1.060471098454174,1.073956044250546
75,1.0668296159533137,1.0601368052325852,1.0735431960325517
76,1.0655503364903596,1.0589002623078483,1.0722209399215872
77,1.0630409709762938,1.0564379643457706,1.0696642647619314
78,1.0596546477981268,1.0531011896840414,1.0662281533373998
79,1.0584119174907098,1.051900275490988,1.064943374818203
80,1.0571475622738764,1.0506760279848872,1.0636386916530822
81,1.0570534029678202,1.0506164106346947,1.063509783189048
82,1.0546637583807,1.048266808870075,1.0610798984699623
83,1.0517532296122332,1.0453970877239802,1.0581283702413833
84,1.0495456539340142,1.0432277093199434,1.0558824088905951
85,1.0480284742257686,1.0417457240556134,1.0543298524528064
86,1.047862935078644,1.0416097608327952,1.0541345650774039
87,1.0477641621368623,1.04153871164607,1.054007906583987
88,1.0486252636216358,1.0424235677914855,1.0548450989091689
89,1.0484332687169418,1.042258079121446,1.05462644612174
90,1.0477950088188681,1.0416477701789872,1.0539600834531448
91,1.0448535808344757,1.038741315914685,1.050983528868811
92,1.0410680128345204,1.034993156839994,1.0471603995417806
93,1.0361185482762743,1.0300838388460756,1.0421706400224546
94,1.0309197743675578,1.0249244039027807,1.0369323877060743
95,1.0263238455747876,1.0203637360631905,1.0323010719716768
96,1.0234627635748563,1.0175300558848397,1.029412478443271
97,1.0223554120769855,1.016442110502872,1.028285627943514
98,1.0225466429261112,1.016646471662946,1.0284636501843765
99,1.023797926477603,1.0179061622098617,1.029706458151166
100,1.0229872424994038,1.017109195039003,1.0288819925356159
101,1.0220607809002158,1.0161970082124028,1.027941190132946
102,1.0201071191462505,1.0142611225919942,1.0259696831461362
103,1.0184512910463437,1.0126223391849976,1.0242967406038224
104,1.0182794138250766,1.012462685113985,1.0241125737975632
105,1.0182366974111758,1.0124307718738037,1.0240589938350253
106,1.0172353752912484,1.0114419802991759,1.0230450865727372
107,1.016596419787318,1.010814041879791,1.0223950621448261
108,1.015416360096043,1.0096464822896456,1.0212024508830233
109,1.0127312507072543,1.0069780345873744,1.018500629033755
110,1.0117915704111844,1.0060496552200822,1.0175495992814076
111,1.0109185962514142,1.0051870460027255,1.016666215879025
112,1.0111448885390484,1.0054195346825605,1.0168862734006732
113,1.0123273802699668,1.00660460224275,1.0180661560994626
114,1.0136924035553871,1.0079712429112144,1.019429531357374
115,1.013810000402279,1.0080941057616994,1.019541830925589
116,1.0131364005699062,1.0074286060908633,1.018860096329029
117,1.0126034525402463,1.0069040809149052,1.0183186868523513
118,1.0108420814692902,1.0051549244392828,1.0165450607709632
119,1.0090095602406663,1.0033345860263734,1.0147003176097265
120,1.0088368357868605,1.0031687657639536,1.0145206532340254
121,1.0087857462188141,1.0031233888576654,1.0144638200316252
122,1.010739334687751,1.0050762117705172,1.016418147842776
123,1.0116930673451487,1.0060315460834166,1.017370255134579
124,1.0158031672270416,1.0101345879189796,1.0214873884800908
125,1.0181147105883532,1.0124448645688044,1.0238001699264527
126,1.0199413503247687,1.014272731400162,1.0256255477739722
127,1.0217205496233521,1.0160548243653356,1.0274018103085807
128,1.0231068590054837,1.0174466564367521,1.0287825456212092
129,1.0225651883393634,1.0169169880801832,1.0282288151482486
130,1.0204255781602045,1.0147945452982958,1.0260719760478954
131,1.0179333936295378,1.0123209006988099,1.023561187910157
132,1.014535622786601,1.0089439682145056,1.0201425161463151
133,1.0123310525641644,1.0067559834710715,1.0179213031352514
134,1.0087414581823855,1.0031852789624809,1.014312769840664
135,1.0072353800120326,1.0016906525987008,1.0127952000595857
136,1.0076897427224458,1.0021495119516066,1.0132450348119093
137,1.0102946491948832,1.004751636988977,1.0158526988884238
138,1.0144987711567666,1.0089477432942844,1.0200648174225757
139,1.0216770279594523,1.0161100049979677,1.0272590497020704
140,1.0249349294320804,1.0193639559983765,1.0305208750980202
141,1.0258008568695034,1.0202348770762286,1.0313817693797107
142,1.0261867147413672,1.0206301005523337,1.0317582057582044
143,1.024144447257917,1.0186061671875972,1.0296975355640656
144,1.022361495378543,1.0168417068682611,1.0278960189939226
145,1.0186352533999619,1.0131387979625641,1.024146373054649
146,1.0159415204140874,1.0104644821181197,1.0214331580754572
147,1.0126516260066492,1.0071942047207343,1.0181235893424487
148,1.0093928279177877,1.0039533602739683,1.0148467887264245
149,1.0061787142333776,1.0007554789880135,1.0116164023004106
150,1.004822661984778,0.9994090719928225,1.010250672854064
151,1.0048138551603614,0.9994047103941669,1.0102373972259382
152,1.0069456527611507,1.0015337733651053,1.0123719134444682
153,1.0117859535365752,1.0063632069975768,1.0172230699945137
154,1.01630766642131,1.010874964789757,1.0217547265119769
155,1.021342380754392,1.0158995236841373,1.0267995788533897
156,1.0247995714088913,1.0193529871480493,1.0302604677984382
157,1.0260778009176579,1.0206359702658565,1.0315339008490307
158,1.0247139982289821,1.019286439322052,1.030155770511695
159,1.0225107598656533,1.0171014528877076,1.0279342151612254
160,1.0175802718488511,1.0121970286026398,1.0229775952931635
161,1.0153602515047073,1.0099952650865065,1.0207392533117485
162,1.0143901871393692,1.009038595751996,1.0197557372968498
163,1.0147125821495269,1.00936893419244,1.020070142981808
164,1.0141378886006738,1.0088028945726752,1.0194867582976381
165,1.012769373090721,1.0074444391524637,1.0181081490767836
166,1.0140692910098867,1.008747502409981,1.0194048875197146
167,1.015513829838289,1.0101949692578376,1.0208464634484264
168,1.0178185638966626,1.0125002613273857,1.023150605340519
169,1.0199025630153402,1.0145854847908007,1.0252333456486649
170,1.0210095290411256,1.0156968694129949,1.0263358554092152
171,1.0220818673925174,1.0167748144735347,1.0274025438379764
172,1.0232005870908194,1.0179001517053818,1.0285145971088374
173,1.02581262244275,1.020515726839928,1.0311230399226472
174,1.0282797518051725,1.0229872475474742,1.0335857230287542
175,1.0281028605465687,1.0228220488518465,1.0333970820058094
176,1.0265480944381538,1.0212833722172263,1.031826164968965
177,1.023632027274997,1.0183878657992158,1.0288894706972667
178,1.0201459306677487,1.0149241278373813,1.0253809474027646
179,1.01716648760746,1.0119650481895504,1.0223810764423162
180,1.0149828361915576,1.0097981964502059,1.0201805686181562
181,1.0144814960743984,1.0093075217211702,1.0196685156940029
182,1.014986561545828,1.0098190771432776,1.0201670519760522
183,1.0160265201682481,1.0108631337295462,1.0212028786638294
184,1.017643253875747,1.0124822018420871,1.0228172455828464
185,1.0201282065532453,1.0149676128316358,1.0253017060539873
186,1.0237592405390348,1.0185969001005841,1.0289344495863484
187,1.0228919530325264,1.017740110979869,1.0280566222354517
188,1.0217521946860677,1.0166126641402435,1.0269045053481827
189,1.019663260579502,1.0145395735624751,1.0247996750280866
190,1.0170454130294349,1.0119392637877231,1.0221642352319646
191,1.0149268502992579,1.0098363514676338,1.0200299707859941
192,1.012040241226802,1.0069660833549419,1.0171269756086463
193,1.009257983336323,1.0041985375028897,1.01432996732135
194,1.003592910678058,0.9985541848243908,1.0086441424425974
195,0.9978398597314437,0.9928209088485885,1.002871290150936
196,0.9951486939804313,0.9901403721458722,1.0001694761731594
197,0.9948122130583982,0.9898064768075663,0.9998304010098695
198,0.9961955389396095,0.9911855854155766,1.001217947817265
199,0.9985146485793168,0.9934963225401946,1.0035454425916117
200,1.0005025356403434,0.9954762369930226,1.0055413170442942
201,1.0024672895140552,0.9974338678071676,1.0075132048311903
202,1.0038537649576882,0.9988160292306666,1.0089039984185586
203,1.00599977737483,1.0009570944099881,1.0110549558834832
204,1.0065806114949005,1.001537839849574,1.0116358718955476
205,1.007968648515109,1.0029244470459555,1.0130253285812598
206,1.0085981887901099,1.0035550814879,1.0136537614648848
207,1.0076124001699898,1.0025749604409615,1.0126622894329889
208,1.0089754614644928,1.0039382573827835,1.0140250970554743
