date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,2463,4915,301,449,97,103
2020-04-13,2434,4570,401,745,101,116
2020-04-14,2417,4639,602,1020,110,128
2020-04-15,2434,4434,803,1299,120,140
2020-04-16,2459,4476,1003,1566,130,151
2020-04-17,2453,4359,1204,1835,140,163
2020-04-18,2458,4382,1405,2097,150,174
2020-04-19,2487,4324,1606,2361,160,185
2020-04-20,2524,4343,1806,2621,170,196
2020-04-21,2519,4314,2007,2882,181,207
2020-04-22,2521,4329,2208,3142,192,218
2020-04-23,2550,4316,2409,3402,201,229
2020-04-24,2616,4329,2609,3662,210,240
2020-04-25,2658,4326,2810,3922,219,251
2020-04-26,2671,4346,3011,4182,225,263
2020-04-27,2672,4356,3212,4443,231,275
2020-04-28,2683,4376,3413,4705,239,287
2020-04-29,2711,4390,3614,4968,250,299
2020-04-30,2785,4405,3816,5232,264,311
2020-05-01,2862,4430,4017,5497,277,323
2020-05-02,2891,4454,4219,5763,291,335
2020-05-03,2880,4486,4441,6031,301,347
2020-05-04,2876,4523,4684,6301,318,359
2020-05-05,2879,4554,4948,6573,342,371
2020-05-06,2857,4588,5212,6847,370,383
2020-05-07,2864,4617,5476,7123,393,395
2020-05-08,2903,4639,5740,7401,408,408
2020-05-09,2899,4648,6004,7680,420,421
2020-05-10,2842,4665,6247,7960,428,434
2020-05-11,2785,4695,6469,8241,440,447
2020-05-12,2767,4731,6671,8523,452,460
2020-05-13,2820,4769,6873,8808,467,473
2020-05-14,2904,4804,7075,9095,479,486
2020-05-15,3031,4830,7277,9384,494,499
2020-05-16,3086,4850,7479,9675,508,512
2020-05-17,3069,4881,7695,9967,519,525
2020-05-18,3017,4917,7926,10261,534,538
2020-05-19,2979,4952,8172,10557,550,552
2020-05-20,2978,4986,8418,10855,568,566
2020-05-21,3027,5015,8663,11155,581,580
2020-05-22,3111,5026,8909,11457,597,594
2020-05-23,3196,5026,9155,11759,612,608
2020-05-24,3212,5042,9404,12061,625,622
2020-05-25,3188,5064,9658,12364,637,636
2020-05-26,3177,5107,9915,12669,652,650
2020-05-27,3205,5150,10173,12976,671,664
2020-05-28,3282,5190,10430,13286,691,678
2020-05-29,3402,5227,10688,13598,708,692
2020-05-30,3514,5258,10945,13912,722,706
2020-05-31,3550,5298,11219,14228,732,721
2020-06-01,3516,5339,11510,14547,746,736
2020-06-02,3458,5384,11818,14868,762,751
2020-06-03,3401,5431,12125,15192,781,766
2020-06-04,3324,5479,12433,15519,793,781
2020-06-05,3247,5520,12740,15849,802,796
2020-06-06,3168,5538,13048,16181,810,811
2020-06-07,3191,5583,13347,16514,821,826
2020-06-08,3250,5643,13637,16850,833,841
2020-06-09,3354,5701,13918,17189,852,856
2020-06-10,3297,5755,14199,17532,867,872
2020-06-11,3327,5810,14480,17878,878,888
2020-06-12,3330,5851,14761,18228,883,904
2020-06-13,3389,5854,15042,18580,887,920
2020-06-14,3343,5878,15320,18932,891,936
2020-06-15,3325,5930,15597,19286,900,952
2020-06-16,3408,5975,15871,19643,918,968
2020-06-17,3395,6031,16145,20002,938,984
2020-06-18,3268,6071,16419,20365,954,1000
2020-06-19,2986,6093,16693,20730,962,1016
2020-06-20,2704,6083,16967,21097,970,1032
2020-06-21,2976,6110,17252,21463,975,1048
2020-06-22,3427,6161,17548,21831,981,1064
2020-06-23,4036,6227,17855,22202,992,1081
2020-06-24,4446,6291,18161,22577,1005,1098
2020-06-25,4851,6338,18468,22955,1016,1115
2020-06-26,5239,6358,18774,23336,1024,1132
