date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,20526,186,194,118,120
2020-04-13,3356,20369,207,244,122,131
2020-04-14,3401,24723,294,293,131,142
2020-04-15,3498,24518,364,353,141,156
2020-04-16,3547,25814,537,412,153,170
2020-04-17,3584,25611,740,475,166,185
2020-04-18,3627,26214,918,537,177,200
2020-04-19,3657,26054,1066,601,185,215
2020-04-20,3735,26454,1156,664,194,230
2020-04-21,3809,26344,1246,728,210,246
2020-04-22,4001,26641,1270,792,229,262
2020-04-23,4229,26606,1286,857,248,278
2020-04-24,4459,26857,1313,922,262,294
2020-04-25,4666,26901,1347,987,275,310
2020-04-26,4848,27132,1382,1052,285,327
2020-04-27,5024,27211,1417,1118,297,344
2020-04-28,5212,27425,1447,1184,304,361
2020-04-29,5487,27540,1474,1251,312,378
2020-04-30,5787,27723,1500,1318,324,395
2020-05-01,6124,27878,1530,1385,342,413
2020-05-02,6399,28100,1563,1453,362,431
2020-05-03,6666,28275,1598,1521,378,449
2020-05-04,6934,28451,1633,1590,389,467
2020-05-05,7242,28599,1665,1659,405,486
2020-05-06,7534,28773,1695,1728,423,505
2020-05-07,7875,28931,1720,1798,464,524
2020-05-08,7927,29105,2051,1868,499,543
2020-05-09,7938,29280,2402,1939,528,563
2020-05-10,7848,29504,2770,2010,536,583
2020-05-11,8021,29735,2845,2082,546,603
2020-05-12,8299,29986,2913,2154,566,623
2020-05-13,8628,30249,2987,2227,593,644
2020-05-14,8997,30510,3066,2300,623,665
2020-05-15,9326,30773,3192,2374,651,686
2020-05-16,9606,31047,3317,2449,670,708
2020-05-17,9798,31303,3459,2524,682,730
2020-05-18,9982,31555,3571,2600,690,752
2020-05-19,10172,31817,3678,2677,713,774
2020-05-20,10426,32079,3779,2754,738,797
2020-05-21,10666,32347,3864,2832,762,820
2020-05-22,10943,32593,3951,2910,781,843
2020-05-23,11185,32882,4038,2989,795,866
2020-05-24,11406,33099,4123,3069,806,890
2020-05-25,11586,33276,4211,3149,808,914
2020-05-26,11815,33473,4287,3230,817,938
2020-05-27,12149,33674,4370,3311,834,962
2020-05-28,12575,33864,4454,3393,860,987
2020-05-29,13099,34016,4553,3475,883,1012
2020-05-30,13667,34193,4656,3558,899,1037
2020-05-31,14103,34525,4762,3641,909,1062
2020-06-01,14656,35019,4865,3725,922,1087
2020-06-02,15331,35534,4970,3810,948,1113
2020-06-03,16122,36090,5071,3896,975,1139
2020-06-04,17046,36648,5182,3984,999,1166
2020-06-05,17950,37189,5289,4073,1019,1193
2020-06-06,19186,37732,5404,4163,1036,1221
2020-06-07,20139,38207,5518,4255,1049,1249
2020-06-08,20954,38541,5640,4348,1060,1277
2020-06-09,21781,38907,5751,4442,1076,1306
2020-06-10,22798,39216,5903,4536,1104,1335
2020-06-11,24205,39551,6051,4631,1130,1364
2020-06-12,25658,39819,6170,4727,1160,1393
2020-06-13,27040,40156,6250,4824,1178,1423
2020-06-14,28208,40582,6334,4921,1194,1453
2020-06-15,29574,41130,6464,5019,1207,1483
2020-06-16,31171,41642,6591,5119,1226,1513
2020-06-17,33211,42192,6725,5220,1253,1544
2020-06-18,35615,42723,6865,5322,1284,1575
2020-06-19,38486,43293,7025,5426,1316,1606
2020-06-20,41338,43842,7200,5531,1338,1638
2020-06-21,43703,44424,7388,5637,1348,1670
2020-06-22,46253,44979,7571,5745,1365,1703
2020-06-23,48564,45553,7754,5854,1404,1736
2020-06-24,51224,46059,7940,5965,1452,1769
2020-06-25,53723,46613,8154,6077,1499,1802
2020-06-26,56756,47161,8395,6190,1537,1836
2020-06-27,60006,47764,8658,6304,1570,1870
2020-06-28,62352,48270,8921,6420,1590,1904
2020-06-29,65113,48765,9172,6537,1612,1939
2020-06-30,68201,49263,9435,6655,1656,1974
2020-07-01,72127,49816,9754,6775,1711,2009
2020-07-02,75935,50388,10110,6896,1762,2044
2020-07-03,78995,51008,10506,7018,1793,2080
2020-07-04,82120,51678,10914,7142,1813,2116
2020-07-05,84852,52221,11366,7267,1823,2152
2020-07-06,87871,52792,11819,7394,1860,2188
2020-07-07,90849,53349,12299,7522,1906,2225
2020-07-08,94016,53907,12801,7651,1976,2262
2020-07-09,97366,54422,13332,7782,2027,2299
2020-07-10,100545,54930,13862,7914,2090,2336
2020-07-11,103249,55467,14358,8047,2156,2373
2020-07-12,105037,56038,14825,8182,2211,2410
2020-07-13,107270,56544,15253,8318,2273,2447
2020-07-14,109724,57083,15695,8455,2339,2485
2020-07-15,112761,57541,16172,8594,2421,2523
2020-07-16,115653,58019,16674,8734,2503,2561
2020-07-17,118356,58538,17176,8875,2601,2599
2020-07-18,120782,59087,17664,9017,2691,2637
2020-07-19,122490,59635,18109,9160,2758,2675
2020-07-20,124499,60165,18510,9305,2821,2713
2020-07-21,126375,60682,18891,9451,2892,2751
2020-07-22,128463,61159,19297,9598,2985,2789
2020-07-23,130491,61650,19733,9746,3060,2827
2020-07-24,133106,62168,20158,9896,3164,2865
2020-07-25,135637,62741,20571,10047,3244,2903
2020-07-26,137707,63285,20955,10199,3298,2941
2020-07-27,139278,63791,21308,10353,3339,2979
2020-07-28,140976,64304,21647,10508,3388,3017
2020-07-29,142847,64797,21992,10664,3496,3055
2020-07-30,145081,65299,22355,10821,3591,3093
2020-07-31,147535,65833,22712,10979,3689,3131
2020-08-01,149695,66439,23063,11139,3735,3169
2020-08-02,151166,67074,23393,11300,3763,3207
2020-08-03,152007,67626,23686,11463,3796,3245
2020-08-04,152927,68158,23956,11627,3852,3283
2020-08-05,153963,68655,24232,11792,3926,3320
2020-08-06,155110,69080,24522,11959,4005,3357
2020-08-07,156029,69470,24836,12127,4073,3394
