date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,23828,186,194,118,120
2020-04-13,3356,23757,207,252,122,133
2020-04-14,3401,29093,294,310,131,146
2020-04-15,3498,29006,364,381,141,162
2020-04-16,3547,30786,537,451,153,178
2020-04-17,3584,30694,740,526,166,195
2020-04-18,3627,31658,918,600,177,212
2020-04-19,3657,31563,1066,677,185,230
2020-04-20,3735,32332,1156,754,194,248
2020-04-21,3809,32235,1246,832,210,267
2020-04-22,4001,32978,1270,910,229,286
2020-04-23,4229,32878,1286,990,248,306
2020-04-24,4459,33627,1313,1070,262,326
2020-04-25,4666,33525,1347,1152,275,346
2020-04-26,4848,34283,1382,1233,285,367
2020-04-27,5024,34179,1417,1316,297,388
2020-04-28,5212,34945,1447,1399,304,409
2020-04-29,5487,34838,1474,1484,312,431
2020-04-30,5787,35619,1500,1569,324,453
2020-05-01,6124,35510,1530,1655,342,476
2020-05-02,6399,36304,1563,1741,362,499
2020-05-03,6666,36192,1598,1829,378,523
2020-05-04,6934,36990,1633,1917,389,547
2020-05-05,7242,36876,1665,2007,405,571
2020-05-06,7534,37687,1695,2096,423,595
2020-05-07,7875,37570,1720,2187,464,620
2020-05-08,7927,38398,2051,2278,499,645
2020-05-09,7938,38279,2402,2371,528,671
2020-05-10,7848,39126,2770,2464,536,697
2020-05-11,8021,39004,2845,2559,546,724
2020-05-12,8299,39863,2913,2654,566,751
2020-05-13,8628,39739,2987,2751,593,779
2020-05-14,8997,40617,3066,2847,623,807
2020-05-15,9326,40490,3192,2946,651,835
2020-05-16,9606,41389,3317,3044,670,863
2020-05-17,9798,41259,3459,3144,682,892
2020-05-18,9982,42171,3571,3244,690,921
2020-05-19,10172,42039,3678,3346,713,951
2020-05-20,10426,42968,3779,3448,738,981
2020-05-21,10666,42833,3864,3552,762,1012
2020-05-22,10943,43785,3951,3656,781,1043
2020-05-23,11185,43647,4038,3762,795,1075
2020-05-24,11406,44628,4123,3868,806,1107
2020-05-25,11586,44487,4211,3976,808,1139
2020-05-26,11815,45481,4287,4084,817,1171
2020-05-27,12149,45337,4370,4194,834,1204
2020-05-28,12575,46349,4454,4304,860,1237
2020-05-29,13099,46203,4553,4416,883,1271
2020-05-30,13667,47241,4656,4528,899,1305
2020-05-31,14103,47092,4762,4643,909,1340
2020-06-01,14656,48142,4865,4757,922,1375
2020-06-02,15331,47990,4970,4874,948,1411
2020-06-03,16122,49061,5071,4990,975,1446
2020-06-04,17046,48906,5182,5109,999,1482
2020-06-05,17950,50008,5289,5228,1019,1518
2020-06-06,19186,49850,5404,5349,1036,1555
2020-06-07,20139,50979,5518,5470,1049,1592
2020-06-08,20954,50817,5640,5594,1060,1630
2020-06-09,21781,51956,5751,5717,1076,1668
2020-06-10,22798,51791,5903,5843,1104,1707
2020-06-11,24205,52957,6051,5969,1130,1745
2020-06-12,25658,52789,6170,6098,1160,1784
2020-06-13,27040,53983,6250,6226,1178,1823
2020-06-14,28208,53812,6334,6357,1194,1863
2020-06-15,29574,55035,6464,6488,1207,1903
2020-06-16,31171,54861,6591,6622,1226,1944
2020-06-17,33211,56087,6725,6755,1253,1985
2020-06-18,35615,55910,6865,6891,1284,2026
2020-06-19,38486,57163,7025,7027,1316,2067
2020-06-20,41338,56982,7200,7166,1338,2109
2020-06-21,43703,58273,7388,7304,1348,2151
2020-06-22,46253,58089,7571,7445,1365,2194
2020-06-23,48564,59402,7754,7586,1404,2236
2020-06-24,51224,59215,7940,7730,1452,2279
2020-06-25,53723,60549,8154,7874,1499,2322
2020-06-26,56756,60358,8395,8021,1537,2366
2020-06-27,60006,61730,8658,8167,1570,2410
2020-06-28,62352,61536,8921,8317,1590,2454
2020-06-29,65113,62937,9172,8466,1612,2498
2020-06-30,68201,62739,9435,8619,1656,2543
2020-07-01,72127,64162,9754,8771,1711,2588
2020-07-02,75935,63961,10110,8927,1762,2633
2020-07-03,78995,65428,10506,9082,1793,2678
2020-07-04,82120,65223,10914,9241,1813,2724
2020-07-05,84852,66732,11366,9399,1823,2770
2020-07-06,87871,66524,11819,9561,1860,2816
2020-07-07,90849,68057,12299,9722,1906,2862
2020-07-08,94016,67845,12801,9887,1976,2909
2020-07-09,97366,69403,13332,10052,2027,2955
2020-07-10,100545,69187,13862,10220,2090,3002
2020-07-11,103249,70776,14358,10388,2156,3049
2020-07-12,105037,70557,14825,10560,2211,3097
2020-07-13,107270,72159,15253,10731,2273,3144
2020-07-14,109724,71936,15695,10906,2339,3192
2020-07-15,112761,73563,16172,11081,2421,3239
2020-07-16,115653,73336,16674,11260,2503,3287
2020-07-17,118356,74996,17176,11438,2601,3335
2020-07-18,120782,74766,17664,11620,2691,3383
2020-07-19,122490,76472,18109,11801,2758,3431
2020-07-20,124499,76238,18510,11987,2821,3480
2020-07-21,126375,77962,18891,12172,2892,3528
2020-07-22,128463,77724,19297,12361,2985,3577
