date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,4825,12207,540,547,145,148
2020-04-13,4986,16242,600,564,148,156
2020-04-14,5246,18331,731,587,166,166
2020-04-15,5530,19473,808,613,185,178
2020-04-16,5812,20145,937,641,211,191
2020-04-17,6149,20586,1096,670,232,204
2020-04-18,6572,20912,1201,699,255,217
2020-04-19,6977,21183,1273,729,278,230
2020-04-20,7418,21427,1336,759,300,244
2020-04-21,7891,21659,1413,790,324,258
2020-04-22,8456,21887,1494,821,348,272
2020-04-23,8997,22113,1578,852,377,286
2020-04-24,9593,22340,1652,884,407,300
2020-04-25,10144,22568,1734,916,432,314
2020-04-26,10719,22798,1791,948,448,328
2020-04-27,11291,23031,1857,981,467,343
2020-04-28,11855,23265,1933,1014,491,358
2020-04-29,12507,23502,2020,1047,522,373
2020-04-30,13238,23742,2114,1081,551,388
2020-05-01,14042,23985,2204,1115,583,403
2020-05-02,14816,24230,2335,1149,619,418
2020-05-03,15529,24477,2452,1184,653,433
2020-05-04,16191,24727,2588,1219,695,448
2020-05-05,16574,24977,2697,1254,731,464
2020-05-06,17145,25231,2790,1290,759,480
2020-05-07,17724,25488,2882,1326,783,496
2020-05-08,18585,25748,2982,1362,802,512
2020-05-09,19273,26010,3107,1399,826,528
2020-05-10,20078,26276,3199,1436,838,544
2020-05-11,20832,26545,3291,1474,860,560
2020-05-12,21573,26817,3409,1512,890,576
2020-05-13,22317,27092,3544,1550,925,592
2020-05-14,23110,27371,3679,1589,954,609
2020-05-15,23946,27654,3797,1628,979,626
2020-05-16,24682,27941,3902,1667,997,643
2020-05-17,25391,28231,4003,1707,1009,660
2020-05-18,26079,28525,4123,1747,1022,677
2020-05-19,26720,28821,4300,1788,1044,694
2020-05-20,27467,29119,4524,1829,1072,711
2020-05-21,28141,29420,4754,1871,1103,728
2020-05-22,28885,29726,4929,1913,1131,746
2020-05-23,29455,30037,5037,1955,1155,764
2020-05-24,30296,30353,5098,1998,1179,782
2020-05-25,31408,30674,5158,2041,1205,800
2020-05-26,32619,30998,5246,2085,1241,818
2020-05-27,33690,31324,5355,2129,1285,836
2020-05-28,34574,31654,5495,2174,1325,854
2020-05-29,35539,31987,5621,2219,1355,872
2020-05-30,36463,32323,5753,2265,1367,890
2020-05-31,37322,32663,5837,2311,1379,909
2020-06-01,38097,33006,5926,2358,1391,928
2020-06-02,38746,33352,6025,2405,1409,947
2020-06-03,39421,33702,6153,2453,1426,966
2020-06-04,40042,34055,6280,2501,1442,985
2020-06-05,40790,34413,6352,2550,1453,1004
2020-06-06,41637,34775,6437,2599,1462,1023
2020-06-07,42481,35143,6492,2649,1470,1042
2020-06-08,43152,35516,6590,2699,1481,1061
2020-06-09,43541,35893,6686,2750,1495,1080
2020-06-10,43878,36273,6799,2801,1510,1099
2020-06-11,44249,36657,6907,2853,1522,1119
2020-06-12,44702,37045,7009,2905,1531,1139
2020-06-13,45219,37438,7103,2958,1540,1159
2020-06-14,45695,37836,7179,3011,1546,1179
2020-06-15,46102,38239,7249,3065,1556,1199
2020-06-16,46429,38645,7333,3120,1568,1219
2020-06-17,46781,39055,7421,3175,1579,1239
2020-06-18,47183,39470,7495,3231,1590,1259
2020-06-19,47672,39890,7554,3287,1598,1279
2020-06-20,48199,40314,7605,3344,1606,1299
2020-06-21,48717,40745,7638,3402,1612,1319
2020-06-22,49181,41182,7678,3460,1625,1339
2020-06-23,49632,41623,7717,3519,1642,1360
2020-06-24,50055,42068,7769,3578,1660,1381
2020-06-25,50515,42518,7817,3638,1678,1402
2020-06-26,51004,42974,7884,3699,1699,1423
2020-06-27,51519,43435,7947,3760,1718,1444
2020-06-28,51994,43901,7998,3822,1732,1465
2020-06-29,52456,44376,8036,3885,1745,1486
2020-06-30,52885,44856,8078,3948,1763,1507
2020-07-01,53218,45341,8235,4012,1788,1528
2020-07-02,53516,45830,8446,4077,1815,1549
2020-07-03,53927,46326,8649,4142,1836,1570
2020-07-04,54485,46832,8745,4208,1853,1591
2020-07-05,55010,47347,8778,4275,1865,1612
2020-07-06,55485,47866,8835,4343,1876,1633
2020-07-07,55939,48390,8911,4411,1889,1654
2020-07-08,56464,48916,8996,4480,1907,1675
2020-07-09,57077,49447,9088,4550,1933,1697
2020-07-10,57773,49983,9175,4621,1952,1719
2020-07-11,58576,50526,9256,4692,1962,1741
2020-07-12,59430,51075,9303,4764,1965,1763
2020-07-13,60261,51630,9354,4837,1970,1785
2020-07-14,61132,52194,9426,4911,1979,1807
2020-07-15,61944,52766,9531,4986,1992,1829
2020-07-16,62775,53345,9684,5061,2004,1851
2020-07-17,63563,53933,9834,5137,2015,1873
2020-07-18,64433,54529,9958,5214,2021,1895
2020-07-19,65332,55133,10033,5292,2027,1917
2020-07-20,66238,55742,10119,5371,2035,1939
2020-07-21,67112,56352,10224,5451,2043,1961
2020-07-22,67934,56961,10348,5531,2051,1983
2020-07-23,68812,57575,10462,5612,2057,2005
2020-07-24,69720,58193,10618,5694,2065,2027
2020-07-25,70688,58818,10752,5777,2073,2049
2020-07-26,71797,59451,10874,5861,2078,2071
2020-07-27,72668,60093,11124,5946,2085,2093
2020-07-28,73539,60741,11380,6032,2100,2115
2020-07-29,74201,61399,11642,6119,2120,2137
2020-07-30,75011,62064,11771,6207,2146,2159
