date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,5978,186,216,118,124
2020-04-13,3356,5912,207,272,122,134
2020-04-14,3401,6149,294,329,131,144
2020-04-15,3498,6077,364,390,141,154
2020-04-16,3547,6384,537,452,153,164
2020-04-17,3584,6306,740,519,166,175
2020-04-18,3627,6669,918,588,177,186
2020-04-19,3657,6583,1066,663,185,197
2020-04-20,3735,6995,1156,739,194,208
2020-04-21,3809,6900,1246,822,210,220
2020-04-22,4001,7354,1270,906,229,232
2020-04-23,4229,7250,1286,997,248,245
2020-04-24,4459,7743,1313,1090,262,257
2020-04-25,4666,7628,1347,1191,275,270
2020-04-26,4848,8157,1382,1293,285,283
2020-04-27,5024,8031,1417,1405,297,297
2020-04-28,5212,8591,1447,1518,304,311
2020-04-29,5487,8453,1474,1642,312,326
2020-04-30,5787,9047,1500,1766,324,341
2020-05-01,6124,8895,1530,1902,342,357
2020-05-02,6399,9522,1563,2039,362,372
2020-05-03,6666,9356,1598,2188,378,388
2020-05-04,6934,10015,1633,2338,389,404
2020-05-05,7242,9834,1665,2502,405,421
2020-05-06,7534,10526,1695,2666,423,438
2020-05-07,7875,10329,1720,2845,464,456
2020-05-08,7927,11051,2051,3024,499,474
2020-05-09,7938,10837,2402,3219,528,493
2020-05-10,7848,11594,2770,3413,536,512
2020-05-11,8021,11363,2845,3624,546,532
2020-05-12,8299,12154,2913,3835,566,551
2020-05-13,8628,11904,2987,4064,593,572
2020-05-14,8997,12729,3066,4292,623,592
2020-05-15,9326,12460,3192,4539,651,614
2020-05-16,9606,13320,3317,4784,670,635
2020-05-17,9798,13031,3459,5050,682,658
2020-05-18,9982,13925,3571,5314,690,680
2020-05-19,10172,13616,3678,5600,713,704
2020-05-20,10426,14547,3779,5883,738,727
2020-05-21,10666,14216,3864,6189,762,752
2020-05-22,10943,15183,3951,6492,781,776
2020-05-23,11185,14830,4038,6819,795,802
2020-05-24,11406,15835,4123,7142,806,827
2020-05-25,11586,15460,4211,7491,808,854
2020-05-26,11815,16499,4287,7835,817,880
2020-05-27,12149,16101,4370,8206,834,907
2020-05-28,12575,17180,4454,8572,860,934
2020-05-29,13099,16758,4553,8966,883,962
2020-05-30,13667,17879,4656,9354,899,990
2020-05-31,14103,17432,4762,9771,909,1019
2020-06-01,14656,18589,4865,10181,922,1048
2020-06-02,15331,18118,4970,10622,948,1078
2020-06-03,16122,19318,5071,11055,975,1108
2020-06-04,17046,18821,5182,11520,999,1139
2020-06-05,17950,20069,5289,11977,1019,1169
2020-06-06,19186,19546,5404,12467,1036,1201
2020-06-07,20139,20842,5518,12948,1049,1232
2020-06-08,20954,20293,5640,13464,1060,1265
2020-06-09,21781,21631,5751,13969,1076,1297
2020-06-10,22798,21055,5903,14511,1104,1331
2020-06-11,24205,22439,6051,15042,1130,1364
2020-06-12,25658,21835,6170,15611,1160,1399
2020-06-13,27040,23271,6250,16167,1178,1433
2020-06-14,28208,22639,6334,16763,1194,1469
2020-06-15,29574,24118,6464,17345,1207,1504
2020-06-16,31171,23457,6591,17968,1226,1541
2020-06-17,33211,24984,6725,18577,1253,1577
2020-06-18,35615,24294,6865,19229,1284,1615
2020-06-19,38486,25879,7025,19865,1316,1652
2020-06-20,41338,25160,7200,20545,1338,1691
2020-06-21,43703,26803,7388,21209,1348,1729
2020-06-22,46253,26053,7571,21919,1365,1769
2020-06-23,48564,27750,7754,22611,1404,1808
2020-06-24,51224,26969,7940,23351,1452,1849
2020-06-25,53723,28725,8154,24073,1499,1888
2020-06-26,56756,27912,8395,24844,1537,1930
2020-06-27,60006,29732,8658,25595,1570,1970
2020-06-28,62352,28887,8921,26398,1590,2013
2020-06-29,65113,30772,9172,27180,1612,2054
2020-06-30,68201,29893,9435,28015,1656,2098
2020-07-01,72127,31838,9754,28828,1711,2140
2020-07-02,75935,30925,10110,29696,1762,2185
2020-07-03,78995,32944,10506,30541,1793,2228
2020-07-04,82120,31996,10914,31443,1813,2273
2020-07-05,84852,34087,11366,32321,1823,2317
2020-07-06,87871,33103,11819,33259,1860,2363
2020-07-07,90849,35269,12299,34171,1906,2408
2020-07-08,94016,34248,12801,35145,1976,2455
2020-07-09,97366,36492,13332,36092,2027,2500
2020-07-10,100545,35433,13862,37103,2090,2548
2020-07-11,103249,37753,14358,38086,2156,2594
2020-07-12,105037,36655,14825,39135,2211,2643
2020-07-13,107270,39048,15253,40155,2273,2690
2020-07-14,109724,37910,15695,41243,2339,2740
2020-07-15,112761,40388,16172,42301,2421,2788
2020-07-16,115653,39209,16674,43430,2503,2839
2020-07-17,118356,41774,17176,44527,2601,2888
2020-07-18,120782,40552,17664,45697,2691,2939
2020-07-19,122490,43208,18109,46834,2758,2989
2020-07-20,124499,41943,18510,48047,2821,3041
2020-07-21,126375,44683,18891,49226,2892,3091
2020-07-22,128463,43373,19297,50483,2985,3144
