date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,2966,265,298,29,30
2020-04-13,976,2862,278,400,30,32
2020-04-14,1016,2972,313,499,34,34
2020-04-15,1062,2867,337,602,38,36
2020-04-16,1116,2978,363,701,42,38
2020-04-17,1202,2873,377,804,47,40
2020-04-18,1287,2984,409,903,50,42
2020-04-19,1370,2879,444,1006,57,44
2020-04-20,1382,2990,484,1105,63,46
2020-04-21,1477,2885,505,1208,68,48
2020-04-22,1588,3000,525,1308,73,50
2020-04-23,1726,2894,567,1411,77,52
2020-04-24,1832,3011,603,1511,85,54
2020-04-25,1904,2905,638,1615,93,56
2020-04-26,1991,3025,646,1715,100,58
2020-04-27,2082,2919,655,1819,104,60
2020-04-28,2224,3041,673,1920,107,62
2020-04-29,2385,2934,701,2025,113,64
2020-04-30,2524,3059,733,2126,122,66
2020-05-01,2663,2951,759,2232,130,68
2020-05-02,2773,3078,785,2334,140,70
2020-05-03,2914,2970,809,2440,148,72
2020-05-04,3022,3098,828,2542,156,74
2020-05-05,3112,2989,879,2649,162,76
2020-05-06,3181,3123,959,2752,167,78
2020-05-07,3257,3013,1054,2860,174,80
2020-05-08,3338,3152,1129,2964,181,82
2020-05-09,3387,3041,1194,3073,190,84
2020-05-10,3457,3187,1247,3178,199,86
2020-05-11,3555,3075,1284,3288,209,88
2020-05-12,3657,3222,1339,3394,219,90
2020-05-13,3713,3109,1416,3505,230,92
2020-05-14,3759,3261,1508,3612,242,94
2020-05-15,3832,3146,1587,3724,251,96
2020-05-16,3894,3307,1662,3833,259,98
2020-05-17,3975,3191,1721,3947,264,100
2020-05-18,4042,3354,1763,4057,270,102
2020-05-19,4114,3236,1811,4173,276,104
2020-05-20,4156,3404,1887,4285,284,106
2020-05-21,4207,3284,1969,4402,295,108
2020-05-22,4210,3462,2058,4515,306,110
2020-05-23,4235,3340,2182,4634,314,112
2020-05-24,4223,3531,2323,4749,318,114
2020-05-25,4266,3407,2447,4871,320,117
2020-05-26,4296,3597,2516,4989,324,119
2020-05-27,4345,3470,2574,5113,329,122
2020-05-28,4405,3666,2628,5233,336,124
2020-05-29,4467,3537,2683,5359,343,127
2020-05-30,4503,3747,2749,5481,350,130
2020-05-31,4543,3615,2805,5610,356,133
2020-06-01,4618,3829,2858,5735,361,136
2020-06-02,4720,3694,2900,5867,368,139
2020-06-03,4844,3913,2953,5994,375,142
2020-06-04,4978,3775,3029,6129,381,145
2020-06-05,5110,4003,3111,6259,387,148
2020-06-06,5211,3862,3202,6397,391,151
2020-06-07,5272,4104,3266,6530,396,154
2020-06-08,5311,3960,3324,6672,400,157
2020-06-09,5273,4202,3462,6809,404,160
2020-06-10,5199,4054,3628,6954,413,163
2020-06-11,5115,4301,3844,7094,422,166
2020-06-12,5107,4150,3968,7242,429,169
2020-06-13,5134,4410,4057,7385,432,172
2020-06-14,5208,4255,4086,7537,435,175
2020-06-15,5278,4522,4115,7684,440,178
2020-06-16,5338,4363,4163,7840,446,181
2020-06-17,5357,4632,4242,7990,451,184
2020-06-18,5367,4469,4335,8150,457,187
2020-06-19,5385,4757,4434,8304,462,190
2020-06-20,5397,4590,4554,8468,467,193
2020-06-21,5437,4900,4655,8626,471,196
2020-06-22,5493,4727,4732,8795,474,200
2020-06-23,5577,5030,4786,8958,477,203
2020-06-24,5660,4853,4866,9131,480,207
2020-06-25,5744,5164,4968,9298,484,210
2020-06-26,5858,4982,5060,9476,488,214
2020-06-27,5973,5311,5149,9648,490,218
2020-06-28,6090,5124,5221,9831,492,222
2020-06-29,6215,5456,5270,10008,494,226
2020-06-30,6322,5264,5317,10196,496,230
2020-07-01,6413,5601,5401,10378,500,234
2020-07-02,6509,5404,5511,10571,504,238
2020-07-03,6630,5753,5647,10757,509,242
2020-07-04,6760,5550,5758,10955,513,246
2020-07-05,6926,5898,5835,11146,514,250
2020-07-06,7111,5690,5869,11349,516,254
2020-07-07,7314,6041,5916,11545,520,258
2020-07-08,7493,5828,5979,11753,526,262
2020-07-09,7688,6188,6051,11954,533,266
2020-07-10,7870,5970,6116,12167,538,270
2020-07-11,8051,6352,6190,12373,542,274
2020-07-12,8227,6128,6258,12592,545,279
2020-07-13,8411,6506,6318,12803,548,283
2020-07-14,8625,6277,6371,13027,552,288
2020-07-15,8846,6666,6429,13244,556,292
2020-07-16,9083,6431,6501,13474,561,297
2020-07-17,9302,6839,6576,13696,565,302
2020-07-18,9497,6598,6656,13932,568,307
2020-07-19,9684,7029,6718,14160,572,312
2020-07-20,9884,6782,6771,14402,579,317
2020-07-21,10119,7209,6816,14636,585,322
2020-07-22,10359,6955,6886,14885,591,327
2020-07-23,10593,7396,6966,15125,596,332
2020-07-24,10812,7136,7062,15380,601,337
2020-07-25,11001,7607,7160,15626,607,342
2020-07-26,11240,7339,7257,15888,613,347
2020-07-27,11468,7811,7358,16141,619,352
2020-07-28,11696,7536,7488,16410,625,358
2020-07-29,11743,8018,7731,16670,631,363
2020-07-30,11781,7736,7957,16947,636,369
2020-07-31,11834,8239,8118,17214,642,374
2020-08-01,11967,7949,8188,17498,649,380
2020-08-02,12071,8480,8256,17772,653,386
2020-08-03,12143,8181,8364,18064,655,392
2020-08-04,12188,8705,8497,18346,660,398
2020-08-05,12237,8399,8658,18646,664,404
2020-08-06,12277,8936,8821,18936,670,410
