date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,3319,20526,186,194,118,120
2020-04-13,3356,20369,207,244,122,131
2020-04-14,3401,24723,294,293,131,142
2020-04-15,3498,24518,364,353,141,156
2020-04-16,3547,25814,537,412,153,170
2020-04-17,3584,25611,740,475,166,185
2020-04-18,3627,26214,918,537,177,200
2020-04-19,3657,26054,1066,601,185,215
2020-04-20,3735,26454,1156,664,194,230
2020-04-21,3809,26344,1246,728,210,246
2020-04-22,4001,26641,1270,792,229,262
2020-04-23,4229,26606,1286,857,248,278
2020-04-24,4459,26857,1313,922,262,294
2020-04-25,4666,26901,1347,987,275,310
2020-04-26,4848,27132,1382,1052,285,327
2020-04-27,5024,27211,1417,1118,297,344
2020-04-28,5212,27425,1447,1184,304,361
2020-04-29,5487,27540,1474,1251,312,378
2020-04-30,5787,27723,1500,1318,324,395
2020-05-01,6124,27880,1530,1385,342,413
2020-05-02,6399,28102,1563,1453,362,431
2020-05-03,6666,28286,1598,1521,378,449
2020-05-04,6934,28487,1633,1590,389,467
2020-05-05,7242,28662,1665,1659,405,486
2020-05-06,7534,28870,1695,1729,423,505
2020-05-07,7875,29058,1720,1799,464,524
2020-05-08,7927,29270,2051,1870,499,543
2020-05-09,7938,29475,2402,1941,528,563
2020-05-10,7848,29710,2770,2013,536,583
2020-05-11,8021,29924,2845,2085,546,603
2020-05-12,8299,30159,2913,2158,566,624
2020-05-13,8628,30394,2987,2231,593,645
2020-05-14,8997,30633,3066,2305,623,666
2020-05-15,9326,30866,3192,2379,651,687
2020-05-16,9606,31117,3317,2454,670,709
2020-05-17,9798,31369,3459,2530,682,731
2020-05-18,9982,31627,3571,2606,690,753
2020-05-19,10172,31894,3678,2683,713,775
2020-05-20,10426,32168,3779,2760,738,798
2020-05-21,10666,32447,3864,2838,762,821
2020-05-22,10943,32712,3951,2917,781,844
2020-05-23,11185,33007,4038,2996,795,868
2020-05-24,11406,33319,4123,3076,806,892
2020-05-25,11586,33650,4211,3157,808,916
2020-05-26,11815,33992,4287,3239,817,940
2020-05-27,12149,34361,4370,3321,834,965
2020-05-28,12575,34706,4454,3404,860,990
2020-05-29,13099,35027,4553,3488,883,1015
2020-05-30,13667,35358,4656,3573,899,1041
2020-05-31,14103,35738,4762,3659,909,1067
2020-06-01,14656,36136,4865,3746,922,1093
2020-06-02,15331,36562,4970,3834,948,1120
2020-06-03,16122,36993,5071,3923,975,1147
2020-06-04,17046,37449,5182,4013,999,1174
2020-06-05,17950,37869,5289,4104,1019,1202
2020-06-06,19186,38307,5404,4196,1036,1230
2020-06-07,20139,38716,5518,4289,1049,1258
2020-06-08,20954,39132,5640,4383,1060,1287
2020-06-09,21781,39578,5751,4478,1076,1316
2020-06-10,22798,40028,5903,4574,1104,1345
2020-06-11,24205,40477,6051,4671,1130,1375
2020-06-12,25658,40884,6170,4769,1160,1405
2020-06-13,27040,41344,6250,4868,1178,1435
2020-06-14,28208,41837,6334,4968,1194,1466
2020-06-15,29574,42326,6464,5070,1207,1497
2020-06-16,31171,42800,6591,5173,1226,1528
2020-06-17,33211,43265,6725,5277,1253,1560
2020-06-18,35615,43742,6865,5382,1284,1592
2020-06-19,38486,44230,7025,5488,1316,1624
2020-06-20,41338,44718,7200,5595,1338,1657
2020-06-21,43703,45237,7388,5704,1348,1690
2020-06-22,46253,45787,7571,5814,1365,1723
2020-06-23,48564,46346,7754,5925,1404,1756
2020-06-24,51224,46867,7940,6037,1452,1790
2020-06-25,53723,47421,8154,6151,1499,1824
2020-06-26,56756,47991,8395,6266,1537,1858
2020-06-27,60006,48603,8658,6382,1570,1893
2020-06-28,62352,49175,8921,6500,1590,1928
2020-06-29,65113,49747,9172,6619,1612,1963
2020-06-30,68201,50330,9435,6740,1656,1999
2020-07-01,72127,50968,9754,6862,1711,2035
2020-07-02,75935,51629,10110,6986,1762,2071
2020-07-03,78995,52345,10506,7111,1793,2107
2020-07-04,82120,53102,10914,7238,1813,2144
2020-07-05,84852,53767,11366,7367,1823,2181
2020-07-06,87871,54442,11819,7497,1860,2218
2020-07-07,90849,55123,12299,7629,1906,2256
2020-07-08,94016,55800,12801,7763,1976,2294
2020-07-09,97366,56433,13332,7898,2027,2332
2020-07-10,100545,57044,13862,8035,2090,2370
2020-07-11,103249,57527,14358,8173,2156,2409
2020-07-12,105037,58073,14825,8313,2211,2448
2020-07-13,107270,58617,15253,8454,2273,2487
2020-07-14,109724,59176,15695,8596,2339,2526
2020-07-15,112761,59681,16172,8740,2421,2565
2020-07-16,115653,60186,16674,8885,2503,2604
2020-07-17,118356,60754,17176,9031,2601,2643
2020-07-18,120782,61336,17664,9178,2691,2682
2020-07-19,122490,61908,18109,9327,2758,2721
2020-07-20,124499,62446,18510,9477,2821,2760
2020-07-21,126375,62980,18891,9629,2892,2799
2020-07-22,128463,63465,19297,9782,2985,2838
2020-07-23,130491,63972,19733,9936,3060,2877
2020-07-24,133106,64501,20158,10091,3164,2916
2020-07-25,135637,65096,20571,10248,3244,2955
2020-07-26,137707,65688,20955,10406,3298,2994
2020-07-27,139278,66225,21308,10565,3339,3033
2020-07-28,140976,66768,21647,10726,3388,3072
2020-07-29,142847,67294,21992,10888,3496,3111
2020-07-30,145081,67837,22355,11051,3591,3150
2020-07-31,147535,68418,22712,11216,3689,3189
2020-08-01,149695,69071,23063,11382,3735,3228
2020-08-02,151166,69726,23393,11550,3763,3267
2020-08-03,152007,70318,23686,11719,3796,3306
2020-08-04,152927,70895,23956,11890,3852,3345
2020-08-05,153963,71446,24232,12062,3926,3384
2020-08-06,155110,71922,24522,12235,4005,3423
2020-08-07,156029,72372,24836,12410,4073,3462
