t,R_mean,R_low,R_high
21,1.5050141953736709,1.484822390153406,1.525340479252963
22,1.4793703814443808,1.4601583136396261,1.4987062781170417
23,1.4093752940314253,1.3913487824300013,1.4275162263965897
24,1.3453883763393182,1.3284280823798482,1.3624547634419344
25,1.2936591786717015,1.2776077174643423,1.3098094575364034
26,1.2536339199545232,1.2383271974760428,1.2690333630108526
27,1.2255339799185536,1.2108058143283014,1.2403499492119736
28,1.206771288519397,1.1924882749899055,1.221138154587924
29,1.195354618899403,1.181419412069329,1.2093703993867573
30,1.187536129220395,1.173893865254702,1.2012561166800069
31,1.1865712940102011,1.1731618742464154,1.2000558608294765
32,1.1911064875929946,1.1778860405267173,1.204399693189869
33,1.1978712269307157,1.1848195719445114,1.2109933868087888
34,1.20241995201752,1.1895461041641162,1.2153621308924898
35,1.2012320944291024,1.1885681583465642,1.2139622113644417
36,1.1971401419336396,1.1847048133908882,1.2096394967054525
37,1.1906243667066325,1.1784314381248666,1.2028791820815496
38,1.1849243865853127,1.1729656081752151,1.1969429796554523
39,1.1801680823645082,1.1684299820036734,1.1919640382461252
40,1.1752356350385251,1.1637083804006851,1.1868189157420517
41,1.1702208865263457,1.1588949104983852,1.1816011774148056
42,1.1657946307844016,1.1546589946316015,1.1769829675823749
43,1.1620207083233993,1.1510654430249334,1.1730271433410968
44,1.1589853759174378,1.1482004866131819,1.1698199825893492
45,1.15749597098199,1.1468680465948164,1.1681722352344346
46,1.1582569996269276,1.1477702797848937,1.1687907494491132
47,1.1376218614281246,1.1273682450521958,1.1479212548558524
48,1.1065952636142473,1.0966168539731538,1.1166182415827361
49,1.0737174619480403,1.0640162573023968,1.083462083379827
50,1.0421290286309062,1.0326845226111094,1.0516159320584342
51,1.0153428418575763,1.0061085820956521,1.0246187023229854
52,0.9939367122068365,0.9848589520285502,1.0030555415792743
53,0.9793283894790852,0.9703485078955565,0.9883490596074099
54,0.9636097402175743,0.9547106105851453,0.9725495828793352
55,0.9488911192830952,0.9400519620306254,0.9577710673287918
56,0.9372867104936273,0.9284813747663287,0.9461330282350697
57,0.9262982727343435,0.9175137514356668,0.9351240682149762
58,0.9170397859519845,0.9082575337859061,0.9258637094031875
59,0.9089189778387327,0.9001234081431321,0.917756720843801
60,0.9046149504304821,0.895778265713241,0.9134944081388817
61,0.8966201928892279,0.8877525158722641,0.9055313301497663
62,0.8858862087685535,0.8769950659124218,0.894821574785279
63,0.8737733778439235,0.8648612794571128,0.8827305276953133
64,0.8599505440031268,0.8510214276266478,0.8689256151885727
65,0.8457470463109423,0.8367956722024573,0.854745384926403
66,0.832057420842411,0.8230709943784416,0.8410919642830746
67,0.8211189887826882,0.8120702354512028,0.830217184166752
68,0.8424980352291155,0.833192717477668,0.8518543123431794
69,0.8700221210781409,0.8604082090609181,0.8796887077384463
70,0.9009858796357081,0.8910317155780696,0.9109945720936471
71,0.9299130908166012,0.9196349147503213,0.9402475945708638
72,0.9544269777670669,0.943874993207472,0.96503680633989
73,0.9725443302729483,0.9617908423838287,0.9833567733991939
74,0.9843612624773681,0.973476419215386,0.9953057849532105
75,0.9818430740461725,0.9709330177597821,0.9928132417312518
76,0.9757916982102003,0.9648934194270937,0.9867503323649669
77,0.9687793464966952,0.9579068635901188,0.9797123358346106
78,0.9623542373619224,0.9515038020218838,0.9732653378909489
79,0.9577092985506132,0.9468636214531765,0.9686158831205792
80,0.9540046504660605,0.9431490139535448,0.9649215449771152
81,0.9502540120303603,0.939380795666817,0.9611889294745438
82,1.0162068431459526,1.0049156709090157,1.0275602225932958
83,1.1307562905875177,1.1187922300368118,1.142783101798216
84,1.2347385601431473,1.2221915292583574,1.247348780761072
85,1.3403583840386957,1.3272989371435624,1.3534808798830875
86,1.4137661452270773,1.4004889582306193,1.4271051065201452
87,1.4602149827737385,1.4469977632350666,1.4734914625383855
88,1.4709619106394138,1.45807911926251,1.4839005818474518
89,1.4209422776592664,1.4087095402290821,1.433227167603645
90,1.337688185320557,1.326245606926989,1.3491792350999972
91,1.2603305888094707,1.2496171013069108,1.271089174413679
92,1.1861512820131617,1.17609212685059,1.1962526806484033
93,1.1309451747912032,1.1213846384804844,1.1405457326453097
94,1.0883044998468625,1.0791170952402163,1.0975303108556174
95,1.0613163494384756,1.052376532783577,1.0702934547483327
96,1.059835696421125,1.0509924891705082,1.0687154402850576
97,1.0650591057937482,1.0562551465118435,1.0738990991020205
98,1.070313556621557,1.0615319678068544,1.0791308194817124
99,1.0768799974181278,1.0681119392558756,1.0856834018207469
100,1.0803662415710096,1.0716302408234875,1.0891372163702415
101,1.0820577476016573,1.0733692017179781,1.090780833554608
102,1.0804255589097904,1.0718035305729905,1.0890816510257042
103,1.0510006965369934,1.0425585459329938,1.0594764196071154
104,1.006441586067883,0.9982404470038586,1.0146758127028177
105,0.9720397738675881,0.9640339270838955,0.9800782684936975
106,0.938604293477448,0.9307743401987246,0.9464665899302221
107,0.9167422995576522,0.909013408156352,0.9245034575514636
108,0.8991385617649224,0.8914632872118005,0.9068462814782872
109,0.8883469210657953,0.8806710645740875,0.896055623544169
110,0.8985191463637957,0.8907334526002072,0.9063382506899718
111,0.9342167200878456,0.9261977585384215,0.9422697685408976
112,0.9720834849385942,0.9638158100063977,0.9803859811891631
113,1.0190817721605852,1.0105330017605945,1.0276660529268267
114,1.060617131694191,1.0518350860510108,1.069435182618293
115,1.0985600897373946,1.0895986810206926,1.1075576923847301
116,1.124184410715731,1.1151374204721567,1.133267446703957
117,1.1329238405038211,1.1238973966307155,1.141985888367392
118,1.1338193175930926,1.1248727858570318,1.1428007967418254
119,1.1330331664997981,1.124189817137033,1.1419106840511362
120,1.1311480902318694,1.1224174622094765,1.1399120750125271
121,1.1308612851507136,1.1222348038559469,1.1395203389338178
122,1.1324736114861138,1.1239394859653276,1.1410395689350379
123,1.1350625583058076,1.1266138186399413,1.1435424235281442
124,1.1299920493090707,1.1216558177370777,1.1383587179592198
125,1.1166404665531668,1.1084470363804766,1.124863650934728
126,1.100810317387104,1.0927680278144212,1.1088816853478773
127,1.0842848161440888,1.0763919902913925,1.0922060760886356
128,1.0694319194449728,1.0616732214707256,1.0772184745899644
129,1.0563946867654925,1.0487510054466134,1.064065738867544
130,1.0461156694032991,1.038564230056367,1.0536940851741494
131,1.0419198246331005,1.0344276832315695,1.0494386270225262
132,1.0397655932947034,1.0323168121945203,1.0472407819268497
133,1.0391047936188866,1.031687895092101,1.0465478904106031
134,1.0387860510131264,1.0313964695979785,1.0462016457358905
135,1.0403300001846976,1.032960056271781,1.047725780551798
136,1.044794663190117,1.0374341564223255,1.0521808296645045
137,1.0539995784269616,1.0466324414945665,1.0613921961175194
138,1.0699718086022483,1.0625759525284522,1.0773929601703252
139,1.0854605578887142,1.0780411940334007,1.0929050140927214
140,1.0921887124942327,1.0847821825047494,1.0996200933943496
141,1.0907378198702558,1.0833811579422732,1.0981190313598224
142,1.0850542860591739,1.0777712912251312,1.0923614668926487
143,1.0758219231527488,1.0686298180968297,1.0830378163968906
144,1.0668728009450015,1.059769723496051,1.0739992756147203
145,1.0638775657080162,1.0568382687821243,1.0709399057845863
146,1.0644469160051848,1.057452585391639,1.0714639836305324
147,1.0662300561620046,1.0592707032554527,1.0732118811059577
148,1.0693796224231276,1.0624478232423975,1.0763336498911846
149,1.073061168556658,1.0661554456705185,1.0799888766090457
150,1.0772632461679847,1.0703839442442857,1.0841642797140976
151,1.0820853213262251,1.0752329050206086,1.0889592030695594
152,1.0853890068460053,1.0785705911139398,1.092228610307408
153,1.0874542719478466,1.0806759570500941,1.0942534858140216
154,1.0878860344623478,1.0811550919005104,1.0946375762468243
155,1.0873933503452862,1.0807143714137177,1.0940926204078107
156,1.0854516853133422,1.0788299380139383,1.092093412751642
157,1.081409566363302,1.074851210711965,1.087987594344819
158,1.0746442282034905,1.0681563847566902,1.0811514441735397
159,1.0622266822359636,1.0558244736147087,1.0686479757820364
160,1.0485288964712958,1.0422132228783263,1.0548633851477356
161,1.0402087835534766,1.0339589592853462,1.0464771798371797
162,1.0375256358293194,1.0313182816132909,1.0437513576574005
163,1.0381620327807486,1.0319798786799357,1.0443623942413167
164,1.0410016060022305,1.034832383738692,1.0471889098187104
165,1.0445811246480319,1.0384203442947757,1.050759875058456
166,1.045314955438014,1.0391717845380384,1.0514759810847798
167,1.042071502370911,1.035959898732032,1.0482008326293437
168,1.0377792676313669,1.0317044290507251,1.0438716925401494
169,1.0321656939911927,1.0261320907481413,1.0382167399059925
170,1.0264061272523384,1.0204127020355653,1.0324168601353552
171,1.0223443284170144,1.016383172298373,1.0283226742858573
172,1.0208186249841453,1.0148788815135192,1.0267754603380936
173,1.0189751790828778,1.0130545690588615,1.0249128017056124
174,1.0172468149041616,1.0113426870948479,1.0231678894138385
175,1.0151751615668445,1.0092873218839378,1.0210798889322048
176,1.0118674121881546,1.00599885980036,1.0177527966419406
177,1.0085094665835073,1.0026596968260693,1.0143760165272127
178,1.004821865145802,0.9989907481462817,1.0106697167027434
179,1.0012128037334873,0.9953984945252781,1.007043811175566
180,0.9993724646396429,0.9935678730842563,1.005193729313916
181,0.9991628952042062,0.9933612553982037,1.0049811946554026
182,0.9994167750694705,0.9936149358242665,1.0052352708624477
183,0.9997673870462013,0.9939639202937554,1.0055875138445887
184,1.0004587891266763,0.9946524308975628,1.0062818124727795
185,1.0011542384107055,0.9953452975302283,1.0069798476379865
186,1.0018006042601941,0.9959896976969649,1.0076281796764313
187,1.0029362856292139,0.9971224110111938,1.008766827208417
188,1.0053839498214807,0.9995636566871621,1.0112209060078157
189,1.0061890839192302,1.000367511078488,1.012027313773124
190,1.0061596393144017,1.0003398110274309,1.0119961151070453
191,1.0065523950509414,1.0007339983638828,1.0123874245315816
192,1.0048726822669387,0.9990624766522895,1.010699501614277
193,1.0002390852607743,0.99444589324215,1.0060488704502648
194,0.9970250989981397,0.9912446044333401,1.0028221673799405
195,0.9963221902441917,0.990546175861443,1.0021147644342
196,0.9979359542280151,0.9921558487640032,1.0037326161056932
197,1.0019438374512881,0.9961507179749792,1.0077535213697626
