iteration,beta,mu
1,0.03279219299909715,0.0005664483223687187
2,0.030920431049463515,0.0006579774899081053
3,0.0303803985308539,0.0007218377269417945
4,0.024834846950538635,0.0007318762373888448
5,0.012078582995785955,0.0006828050992630238
6,0.011060991366447932,0.0005610833054943904
7,0.012440944942522741,0.00042975402185578017
8,0.012851385318676401,0.00030283909309359344
9,0.013294793780878352,0.00019710996650750654
10,0.013368251829013161,0.0001154401483417861
11,0.013419692197203698,6.201525749754364e-05
12,0.010000023667414207,3.2655444693471606e-05
