iteration,beta,mu
1,0.15371626757239426,0.0005714408346383014
2,0.13977831828772952,0.0008027236389740247
3,0.13511214302310137,0.0010292706713527432
4,0.12592783373068078,0.0012205774644065178
5,0.10690367142314965,0.0013511730881564112
6,0.1021817298940706,0.001399099547404863
7,0.09701743799937831,0.0013454591697550757
8,0.09275234695060829,0.001208800724396246
9,0.09356970997173115,0.0010115708618464638
10,0.07580650967471417,0.000788521487020165
11,0.08313414790569419,0.0005673158906227489
12,0.0637639591459374,0.00038279773545783107
