date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,959,1185,265,275,29,29
2020-04-13,976,1402,278,287,30,30
2020-04-14,1016,1601,313,301,34,31
2020-04-15,1062,1784,337,317,38,32
2020-04-16,1116,1951,363,335,42,33
2020-04-17,1202,2119,377,355,47,34
2020-04-18,1287,2272,409,376,50,35
2020-04-19,1370,2427,444,399,57,36
2020-04-20,1382,2576,484,423,63,37
2020-04-21,1477,2721,505,449,68,38
2020-04-22,1588,2856,525,476,73,39
2020-04-23,1726,2999,567,505,77,40
2020-04-24,1832,3141,603,535,85,41
2020-04-25,1904,3272,638,566,93,43
2020-04-26,1991,3412,646,599,100,45
2020-04-27,2082,3551,655,633,104,47
2020-04-28,2224,3691,673,669,107,49
2020-04-29,2385,3829,701,706,113,51
2020-04-30,2524,3966,733,744,122,53
2020-05-01,2663,4109,759,784,130,55
2020-05-02,2773,4246,785,825,140,57
2020-05-03,2914,4357,809,868,148,59
2020-05-04,3022,4487,828,912,156,61
2020-05-05,3112,4614,879,957,162,63
2020-05-06,3181,4746,959,1003,167,65
2020-05-07,3257,4887,1054,1051,174,68
2020-05-08,3338,5041,1129,1100,181,71
2020-05-09,3387,5201,1194,1151,190,74
2020-05-10,3457,5284,1247,1203,199,77
2020-05-11,3555,5386,1284,1256,209,80
2020-05-12,3657,5481,1339,1310,219,83
2020-05-13,3713,5586,1416,1365,230,86
2020-05-14,3759,5701,1508,1421,242,89
2020-05-15,3832,5816,1587,1478,251,92
2020-05-16,3894,5922,1662,1536,259,95
2020-05-17,3975,6005,1721,1595,264,98
2020-05-18,4042,6093,1763,1655,270,101
2020-05-19,4114,6184,1811,1716,276,104
2020-05-20,4156,6268,1887,1778,284,108
2020-05-21,4207,6343,1969,1841,295,112
2020-05-22,4210,6391,2058,1905,306,116
2020-05-23,4235,6392,2182,1969,314,120
2020-05-24,4223,6677,2323,2033,318,124
2020-05-25,4266,6968,2447,2100,320,128
2020-05-26,4296,7256,2516,2170,324,132
2020-05-27,4345,7493,2574,2243,329,136
2020-05-28,4405,7748,2628,2318,336,140
2020-05-29,4467,7985,2683,2396,343,145
2020-05-30,4503,8220,2749,2476,350,150
2020-05-31,4543,8179,2805,2558,356,155
2020-06-01,4618,8158,2858,2640,361,160
2020-06-02,4720,8123,2900,2722,368,165
2020-06-03,4844,8082,2953,2803,375,170
2020-06-04,4978,8026,3029,2884,381,175
2020-06-05,5110,7963,3111,2964,387,180
2020-06-06,5211,7870,3202,3044,391,185
2020-06-07,5272,7812,3266,3123,396,190
2020-06-08,5311,7775,3324,3201,400,195
2020-06-09,5273,7749,3462,3279,404,200
2020-06-10,5199,7722,3628,3357,413,205
2020-06-11,5115,7674,3844,3434,422,210
