date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-12,7619,9414,2141,2170,330,334
2020-04-13,7808,9604,2287,2208,344,339
2020-04-14,8080,10663,2666,2249,377,344
2020-04-15,8262,10936,3135,2297,412,350
2020-04-16,8330,11745,3672,2349,450,356
2020-04-17,8292,12125,4224,2409,482,363
2020-04-18,8130,12819,4776,2474,509,370
2020-04-19,8122,13271,5282,2547,530,378
2020-04-20,8160,13926,5842,2627,554,386
2020-04-21,8258,14500,6511,2715,578,395
2020-04-22,8245,15204,7284,2812,612,404
2020-04-23,8141,15856,8174,2920,641,414
2020-04-24,7995,16571,9055,3038,668,424
2020-04-25,7656,17260,9968,3168,685,435
2020-04-26,7752,17976,10639,3311,703,447
2020-04-27,7958,18677,11239,3468,732,459
2020-04-28,8255,19410,12090,3640,767,472
2020-04-29,8332,20153,13074,3828,811,486
2020-04-30,8801,20947,13852,4033,849,500
2020-05-01,9260,21704,14378,4257,897,515
2020-05-02,9533,22479,14852,4501,937,531
2020-05-03,9512,23301,15508,4766,974,548
2020-05-04,9599,24193,16141,5054,996,566
2020-05-05,9927,25093,16834,5367,1019,585
2020-05-06,10325,26023,17617,5707,1044,605
2020-05-07,10878,26953,18419,6076,1075,626
2020-05-08,11514,27910,19259,6475,1109,648
2020-05-09,11779,28902,20120,6907,1145,671
2020-05-10,11588,29635,21259,7373,1177,695
2020-05-11,11393,30135,22385,7871,1209,720
2020-05-12,11609,30568,23218,8398,1237,745
2020-05-13,11957,30923,23841,8955,1278,771
2020-05-14,12018,31262,24486,9540,1323,798
2020-05-15,11988,31566,25514,10154,1373,825
2020-05-16,11935,31866,26541,10797,1409,853
2020-05-17,12079,32133,27514,11470,1434,882
2020-05-18,12178,32367,28433,12172,1458,911
2020-05-19,12294,32575,29504,12903,1487,941
2020-05-20,12416,32749,30454,13663,1520,971
2020-05-21,12735,32893,31076,14452,1545,1002
2020-05-22,12935,33003,31574,15269,1561,1033
2020-05-23,12820,33125,32295,16113,1583,1065
2020-05-24,12014,33629,33651,16985,1605,1097
2020-05-25,11470,34280,35017,17895,1627,1130
2020-05-26,10963,34875,36431,18847,1647,1164
2020-05-27,10814,35518,37635,19841,1670,1199
2020-05-28,10229,36153,39258,20878,1694,1235
2020-05-29,9654,36860,40857,21959,1720,1272
