date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-19,959,959,265,265,29,29
2020-04-20,976,976,278,278,30,30
2020-04-21,1016,1016,313,313,34,34
2020-04-22,1062,1062,337,337,38,38
2020-04-23,1116,1116,363,363,42,42
2020-04-24,1202,1202,377,377,47,47
2020-04-25,1287,1287,409,409,50,50
2020-04-26,1370,1427,444,427,57,52
2020-04-27,1382,1549,484,447,63,54
2020-04-28,1477,1649,505,469,68,56
2020-04-29,1588,1729,525,492,73,58
2020-04-30,1726,1795,567,516,77,60
2020-05-01,1832,1855,603,541,85,62
2020-05-02,1904,1907,638,567,93,64
2020-05-03,1991,1961,646,594,100,66
2020-05-04,2082,2002,655,621,104,68
2020-05-05,2224,2034,673,649,107,70
2020-05-06,2385,2057,701,677,113,72
2020-05-07,2524,2082,733,706,122,74
2020-05-08,2663,2108,759,735,130,76
2020-05-09,2773,2129,785,764,140,79
2020-05-10,2914,2157,809,794,148,82
2020-05-11,3022,2181,828,824,156,85
2020-05-12,3112,2205,879,854,162,88
2020-05-13,3181,2228,959,885,167,91
2020-05-14,3257,2249,1054,916,174,94
2020-05-15,3338,2277,1129,947,181,97
2020-05-16,3387,2304,1194,979,190,100
2020-05-17,3457,2334,1247,1011,199,103
2020-05-18,3555,2373,1284,1043,209,106
2020-05-19,3657,2405,1339,1076,219,109
2020-05-20,3713,2438,1416,1109,230,112
2020-05-21,3759,2476,1508,1143,242,115
2020-05-22,3832,2523,1587,1177,251,118
2020-05-23,3894,2575,1662,1212,259,121
2020-05-24,3975,2618,1721,1248,264,124
2020-05-25,4042,2670,1763,1284,270,127
2020-05-26,4114,2719,1811,1321,276,130
2020-05-27,4156,2775,1887,1359,284,133
2020-05-28,4207,2838,1969,1398,295,136
2020-05-29,4210,2915,2058,1437,306,139
2020-05-30,4235,2994,2182,1478,314,142
2020-05-31,4223,3058,2323,1520,318,146
2020-06-01,4266,3128,2447,1563,320,150
2020-06-02,4296,3199,2516,1607,324,154
2020-06-03,4345,3278,2574,1651,329,158
2020-06-04,4405,3370,2628,1697,336,162
2020-06-05,4467,3487,2683,1744,343,166
2020-06-06,4503,3588,2749,1793,350,170
2020-06-07,4543,3680,2805,1843,356,174
2020-06-08,4618,3790,2858,1894,361,178
2020-06-09,4720,3915,2900,1947,368,182
2020-06-10,4844,4020,2953,2001,375,187
2020-06-11,4978,4150,3029,2057,381,192
2020-06-12,5110,4291,3111,2115,387,197
2020-06-13,5211,4449,3202,2175,391,202
2020-06-14,5272,4574,3266,2237,396,207
2020-06-15,5311,4698,3324,2301,400,212
2020-06-16,5273,4802,3462,2366,404,218
2020-06-17,5199,4899,3628,2433,413,224
2020-06-18,5115,5010,3844,2501,422,230
2020-06-19,5107,5156,3968,2571,429,236
2020-06-20,5134,5292,4057,2643,432,242
2020-06-21,5208,5435,4086,2717,435,248
2020-06-22,5278,5587,4115,2793,440,254
2020-06-23,5338,5729,4163,2871,446,261
2020-06-24,5357,5851,4242,2951,451,268
2020-06-25,5367,5978,4335,3032,457,275
2020-06-26,5385,6124,4434,3115,462,282
2020-06-27,5397,6253,4554,3200,467,289
2020-06-28,5437,6368,4655,3287,471,296
2020-06-29,5493,6549,4732,3376,474,304
2020-06-30,5577,6737,4786,3467,477,312
2020-07-01,5660,6923,4866,3561,480,320
2020-07-02,5744,7158,4968,3657,484,328
2020-07-03,5858,7389,5060,3757,488,336
2020-07-04,5973,7635,5149,3860,490,345
2020-07-05,6090,7816,5221,3966,492,354
2020-07-06,6215,8023,5270,4075,494,363
2020-07-07,6322,8241,5317,4187,496,373
2020-07-08,6413,8459,5401,4302,500,383
2020-07-09,6509,8693,5511,4420,504,393
2020-07-10,6630,8880,5647,4541,509,403
2020-07-11,6760,8980,5758,4665,513,414
2020-07-12,6926,9146,5835,4790,514,425
2020-07-13,7111,9381,5869,4917,516,436
2020-07-14,7314,9584,5916,5047,520,447
2020-07-15,7493,9733,5979,5180,526,458
2020-07-16,7688,9883,6051,5315,533,470
2020-07-17,7870,9990,6116,5452,538,482
2020-07-18,8051,9999,6190,5591,542,494
2020-07-19,8227,10088,6258,5730,545,506
2020-07-20,8411,10377,6318,5870,548,518
2020-07-21,8625,10656,6371,6014,552,530
2020-07-22,8846,10986,6429,6162,556,543
2020-07-23,9083,11306,6501,6315,561,556
2020-07-24,9302,11669,6576,6472,565,569
2020-07-25,9497,11952,6656,6634,568,583
2020-07-26,9684,12231,6718,6800,572,597
2020-07-27,9884,12635,6771,6970,579,612
2020-07-28,10119,13041,6816,7146,585,627
2020-07-29,10359,13450,6886,7327,591,642
2020-07-30,10593,13876,6966,7514,596,658
2020-07-31,10812,14356,7062,7707,601,674
2020-08-01,11001,14773,7160,7907,607,691
2020-08-02,11240,15138,7257,8112,613,709
2020-08-03,11468,15639,7358,8323,619,727
2020-08-04,11696,16159,7488,8541,625,746
2020-08-05,11743,16694,7731,8766,631,765
2020-08-06,11781,17256,7957,8998,636,785
2020-08-07,11834,17841,8118,9238,642,805
2020-08-08,11967,18391,8188,9486,649,826
2020-08-09,12071,18916,8256,9742,653,848
2020-08-10,12143,19544,8364,10005,655,870
2020-08-11,12188,20155,8497,10277,660,893
2020-08-12,12237,20790,8658,10557,664,917
2020-08-13,12277,21406,8821,10846,670,942
2020-08-14,12295,22079,8981,11144,675,967
2020-08-15,12325,22750,9126,11451,680,993
