date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-19,7619,7619,2141,2141,330,330
2020-04-20,7808,7808,2287,2287,344,344
2020-04-21,8080,8080,2666,2666,377,377
2020-04-22,8262,8262,3135,3135,412,412
2020-04-23,8330,8330,3672,3672,450,450
2020-04-24,8292,8292,4224,4224,482,482
2020-04-25,8130,8130,4776,4776,509,509
2020-04-26,8122,8011,5282,5210,530,520
2020-04-27,8160,7977,5842,5638,554,531
2020-04-28,8258,8035,6511,6064,578,542
2020-04-29,8245,8175,7284,6493,612,553
2020-04-30,8141,8377,8174,6929,641,564
2020-05-01,7995,8626,9055,7376,668,576
2020-05-02,7656,8915,9968,7836,685,588
2020-05-03,7752,9230,10639,8312,703,600
2020-05-04,7958,9583,11239,8805,732,613
2020-05-05,8255,9970,12090,9316,767,626
2020-05-06,8332,10383,13074,9848,811,640
2020-05-07,8801,10815,13852,10402,849,654
2020-05-08,9260,11260,14378,10979,897,669
2020-05-09,9533,11726,14852,11580,937,685
2020-05-10,9512,12198,15508,12206,974,701
2020-05-11,9599,12692,16141,12857,996,718
2020-05-12,9927,13201,16834,13534,1019,736
2020-05-13,10325,13728,17617,14239,1044,754
2020-05-14,10878,14280,18419,14972,1075,773
2020-05-15,11514,14832,19259,15734,1109,793
2020-05-16,11779,15404,20120,16526,1145,813
2020-05-17,11588,15985,21259,17348,1177,834
2020-05-18,11393,16581,22385,18201,1209,856
2020-05-19,11609,17197,23218,19086,1237,879
2020-05-20,11957,17830,23841,20004,1278,903
2020-05-21,12018,18478,24486,20956,1323,928
2020-05-22,11988,19144,25514,21942,1373,954
2020-05-23,11935,19835,26541,22964,1409,980
2020-05-24,12079,20557,27514,24023,1434,1007
2020-05-25,12178,21293,28433,25120,1458,1035
2020-05-26,12294,22054,29504,26256,1487,1064
2020-05-27,12416,22839,30454,27433,1520,1094
2020-05-28,12735,23644,31076,28652,1545,1126
2020-05-29,12935,24476,31574,29914,1561,1159
2020-05-30,12820,25338,32295,31220,1583,1193
2020-05-31,12014,26242,33651,32572,1605,1228
2020-06-01,11470,27172,35017,33973,1627,1264
2020-06-02,10963,28134,36431,35423,1647,1302
2020-06-03,10814,29123,37635,36925,1670,1341
2020-06-04,10229,30138,39258,38479,1694,1381
2020-06-05,9654,31189,40857,40087,1720,1423
2020-06-06,9284,32303,42030,41752,1743,1466
2020-06-07,9446,33450,42728,43476,1765,1511
2020-06-08,9881,34627,43426,45261,1784,1557
2020-06-09,10034,35807,44571,47109,1808,1605
2020-06-10,12386,37039,45724,49020,1841,1654
2020-06-11,15230,38303,46840,50997,1871,1705
2020-06-12,18192,39615,47853,53041,1900,1758
2020-06-13,18448,40968,49069,55155,1921,1813
2020-06-14,18293,42374,50161,57341,1937,1870
2020-06-15,19431,43821,50909,59603,1950,1929
2020-06-16,21554,45333,51576,61942,1970,1990
2020-06-17,23433,46886,52561,64361,1996,2053
2020-06-18,24473,48474,53934,66863,2024,2118
2020-06-19,24905,50108,55296,69450,2050,2185
2020-06-20,25162,51823,56711,72124,2072,2254
2020-06-21,26077,53601,57988,74890,2092,2326
2020-06-22,27826,55415,59370,77751,2122,2400
2020-06-23,30514,57295,60712,80709,2159,2477
2020-06-24,32561,59257,62287,83767,2198,2556
2020-06-25,34594,61291,63836,86930,2231,2638
2020-06-26,36556,63410,65412,90201,2262,2723
2020-06-27,38432,65635,66974,93585,2286,2811
2020-06-28,40494,67935,68261,97088,2309,2902
2020-06-29,43446,70229,69467,100714,2330,2996
2020-06-30,47218,72574,70934,104462,2360,3093
2020-07-01,50962,74978,72702,108335,2398,3193
2020-07-02,55537,77411,74558,112337,2440,3297
2020-07-03,59940,79927,76342,116468,2482,3404
2020-07-04,64531,82573,78168,120734,2518,3514
2020-07-05,69048,85346,79852,125141,2550,3628
2020-07-06,73816,88134,82042,129696,2578,3746
2020-07-07,78855,90998,84569,134400,2616,3868
2020-07-08,82345,93969,87698,139257,2662,3994
2020-07-09,85823,96998,90616,144272,2715,4124
2020-07-10,87947,100185,93907,149449,2762,4258
2020-07-11,90608,103563,97281,154796,2805,4396
2020-07-12,93564,106979,100685,160323,2847,4539
2020-07-13,97541,110412,104370,166032,2910,4687
2020-07-14,102141,113962,108517,171925,2989,4839
2020-07-15,106832,117642,113365,178007,3100,4996
2020-07-16,112219,121429,118202,184286,3197,5158
2020-07-17,116554,125350,123067,190767,3293,5326
2020-07-18,119727,129519,127838,197457,3371,5499
2020-07-19,123368,133787,132312,204369,3454,5678
2020-07-20,127112,137996,137151,211509,3540,5863
2020-07-21,131254,142321,142697,218874,3646,6054
2020-07-22,133639,146735,149203,226470,3779,6251
2020-07-23,134936,151323,155801,234301,3936,6454
2020-07-24,136278,156024,162569,242377,4088,6663
2020-07-25,137912,160935,168236,250704,4210,6878
2020-07-26,141193,165966,173462,259293,4319,7100
2020-07-27,143895,171015,179112,268151,4416,7329
2020-07-28,145877,176160,186571,277278,4576,7565
2020-07-29,146488,181539,195223,286680,4750,7808
2020-07-30,146735,187022,203785,296369,4960,8059
2020-07-31,145599,192590,212517,306350,5137,8317
2020-08-01,140625,198451,223501,316629,5304,8583
2020-08-02,136375,204508,234245,327220,5636,8857
2020-08-03,136725,210604,241892,338135,5988,9139
2020-08-04,140705,216850,246748,349375,6370,9430
2020-08-05,143721,223301,252112,360948,6609,9729
2020-08-06,142056,229865,261693,372866,6829,10037
2020-08-07,136306,236610,274582,385134,7057,10354
2020-08-08,129836,243568,286875,397762,7208,10681
2020-08-09,126325,250737,294952,410761,7370,11017
2020-08-10,129802,258073,300368,424143,7522,11363
2020-08-11,134084,265600,306445,437916,7784,11719
2020-08-12,137044,273284,315239,452091,8273,12086
2020-08-13,137115,281129,323708,466676,8777,12463
2020-08-14,140088,289102,331271,481680,9226,12851
2020-08-15,144633,297388,338285,497109,9421,13250
