date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-19,3319,3319,186,186,118,118
2020-04-20,3356,3356,207,207,122,122
2020-04-21,3401,3401,294,294,131,131
2020-04-22,3498,3498,364,364,141,141
2020-04-23,3547,3547,537,537,153,153
2020-04-24,3584,3584,740,740,166,166
2020-04-25,3627,3627,918,918,177,177
2020-04-26,3657,3691,1066,954,185,180
2020-04-27,3735,3805,1156,991,194,183
2020-04-28,3809,3961,1246,1029,210,186
2020-04-29,4001,4150,1270,1069,229,189
2020-04-30,4229,4366,1286,1110,248,192
2020-05-01,4459,4606,1313,1154,262,196
2020-05-02,4666,4863,1347,1200,275,200
2020-05-03,4848,5130,1382,1249,285,204
2020-05-04,5024,5410,1417,1300,297,208
2020-05-05,5212,5698,1447,1354,304,212
2020-05-06,5487,5997,1474,1411,312,217
2020-05-07,5787,6301,1500,1471,324,222
2020-05-08,6124,6615,1530,1534,342,227
2020-05-09,6399,6935,1563,1600,362,232
2020-05-10,6666,7260,1598,1669,378,238
2020-05-11,6934,7592,1633,1742,389,244
2020-05-12,7242,7932,1665,1818,405,250
2020-05-13,7534,8277,1695,1897,423,257
2020-05-14,7875,8623,1720,1980,464,264
2020-05-15,7927,8980,2051,2066,499,271
2020-05-16,7938,9345,2402,2156,528,278
2020-05-17,7848,9716,2770,2249,536,286
2020-05-18,8021,10089,2845,2346,546,294
2020-05-19,8299,10473,2913,2447,566,302
2020-05-20,8628,10865,2987,2552,593,311
2020-05-21,8997,11266,3066,2661,623,320
2020-05-22,9326,11676,3192,2774,651,329
2020-05-23,9606,12092,3317,2891,670,339
2020-05-24,9798,12519,3459,3012,682,349
2020-05-25,9982,12953,3571,3137,690,359
2020-05-26,10172,13401,3678,3267,713,370
2020-05-27,10426,13857,3779,3401,738,381
2020-05-28,10666,14321,3864,3540,762,392
2020-05-29,10943,14794,3951,3683,781,404
2020-05-30,11185,15276,4038,3831,795,416
2020-05-31,11406,15770,4123,3984,806,429
2020-06-01,11586,16278,4211,4142,808,442
2020-06-02,11815,16799,4287,4305,817,455
2020-06-03,12149,17332,4370,4473,834,469
2020-06-04,12575,17871,4454,4646,860,483
2020-06-05,13099,18404,4553,4825,883,498
2020-06-06,13667,18957,4656,5009,899,513
2020-06-07,14103,19526,4762,5199,909,529
2020-06-08,14656,20111,4865,5394,922,545
2020-06-09,15331,20726,4970,5595,948,562
2020-06-10,16122,21370,5071,5802,975,579
2020-06-11,17046,22013,5182,6016,999,597
2020-06-12,17950,22647,5289,6236,1019,615
2020-06-13,19186,23287,5404,6462,1036,634
2020-06-14,20139,23970,5518,6695,1049,653
2020-06-15,20954,24690,5640,6935,1060,673
2020-06-16,21781,25435,5751,7182,1076,693
2020-06-17,22798,26206,5903,7436,1104,714
2020-06-18,24205,26998,6051,7698,1130,736
2020-06-19,25658,27779,6170,7968,1160,758
2020-06-20,27040,28580,6250,8246,1178,781
2020-06-21,28208,29375,6334,8532,1194,805
2020-06-22,29574,30211,6464,8826,1207,829
2020-06-23,31171,31085,6591,9128,1226,854
2020-06-24,33211,31986,6725,9439,1253,880
2020-06-25,35615,32889,6865,9759,1284,906
2020-06-26,38486,33778,7025,10088,1316,933
2020-06-27,41338,34696,7200,10426,1338,961
2020-06-28,43703,35644,7388,10773,1348,990
2020-06-29,46253,36641,7571,11129,1365,1019
2020-06-30,48564,37678,7754,11495,1404,1049
2020-07-01,51224,38743,7940,11872,1452,1080
2020-07-02,53723,39842,8154,12259,1499,1112
2020-07-03,56756,40963,8395,12657,1537,1145
2020-07-04,60006,42086,8658,13067,1570,1179
2020-07-05,62352,43257,8921,13488,1590,1214
2020-07-06,65113,44500,9172,13921,1612,1250
2020-07-07,68201,45769,9435,14366,1656,1287
2020-07-08,72127,47052,9754,14824,1711,1325
2020-07-09,75935,48387,10110,15295,1762,1364
2020-07-10,78995,49748,10506,15779,1793,1404
2020-07-11,82120,51153,10914,16276,1813,1445
2020-07-12,84852,52546,11366,16788,1823,1487
2020-07-13,87871,54008,11819,17313,1860,1530
2020-07-14,90849,55525,12299,17853,1906,1575
2020-07-15,94016,57147,12801,18408,1976,1621
2020-07-16,97366,58798,13332,18979,2027,1668
2020-07-17,100545,60503,13862,19567,2090,1717
2020-07-18,103249,62253,14358,20172,2156,1767
2020-07-19,105037,64007,14825,20795,2211,1818
2020-07-20,107270,65811,15253,21435,2273,1871
2020-07-21,109724,67680,15695,22093,2339,1925
2020-07-22,112761,69584,16172,22770,2421,1981
2020-07-23,115653,71504,16674,23466,2503,2039
2020-07-24,118356,73442,17176,24181,2601,2098
2020-07-25,120782,75473,17664,24915,2691,2159
2020-07-26,122490,77584,18109,25670,2758,2221
2020-07-27,124499,79728,18510,26446,2821,2285
2020-07-28,126375,81985,18891,27243,2892,2351
2020-07-29,128463,84216,19297,28063,2985,2419
2020-07-30,130491,86521,19733,28905,3060,2489
2020-07-31,133106,88920,20158,29770,3164,2561
2020-08-01,135637,91369,20571,30659,3244,2635
2020-08-02,137707,93871,20955,31573,3298,2711
2020-08-03,139278,96444,21308,32512,3339,2789
2020-08-04,140976,99112,21647,33476,3388,2869
2020-08-05,142847,101771,21992,34467,3496,2951
2020-08-06,145081,104495,22355,35485,3591,3035
2020-08-07,147535,107284,22712,36530,3689,3121
2020-08-08,149695,110193,23063,37603,3735,3210
2020-08-09,151166,113186,23393,38705,3763,3301
2020-08-10,152007,116215,23686,39837,3796,3395
2020-08-11,152927,119367,23956,40999,3852,3491
2020-08-12,153963,122560,24232,42193,3926,3590
2020-08-13,155110,125853,24522,43419,4005,3691
2020-08-14,156029,129213,24836,44678,4073,3795
2020-08-15,156737,132730,25168,45970,4122,3902
