date,Q_gt,Q_pred,R_gt,R_pred,D_gt,D_pred
2020-04-19,7619,7619,2141,2141,330,330
2020-04-20,7808,7808,2287,2287,344,344
2020-04-21,8080,8080,2666,2666,377,377
2020-04-22,8262,8262,3135,3135,412,412
2020-04-23,8330,8330,3672,3672,450,450
2020-04-24,8292,8292,4224,4224,482,482
2020-04-25,8130,8130,4776,4776,509,509
2020-04-26,8122,8011,5282,5210,530,520
2020-04-27,8160,7977,5842,5638,554,531
2020-04-28,8258,8008,6511,6064,578,542
2020-04-29,8245,8088,7284,6491,612,553
2020-04-30,8141,8203,8174,6923,641,564
2020-05-01,7995,8342,9055,7361,668,575
2020-05-02,7656,8502,9968,7806,685,587
2020-05-03,7752,8671,10639,8260,703,599
2020-05-04,7958,8866,11239,8723,732,611
2020-05-05,8255,9084,12090,9196,767,623
2020-05-06,8332,9319,13074,9681,811,636
2020-05-07,8801,9565,13852,10178,849,649
2020-05-08,9260,9819,14378,10688,897,662
2020-05-09,9533,10086,14852,11212,937,676
2020-05-10,9512,10349,15508,11750,974,690
2020-05-11,9599,10628,16141,12302,996,704
2020-05-12,9927,10915,16834,12869,1019,719
2020-05-13,10325,11213,17617,13452,1044,734
2020-05-14,10878,11531,18419,14050,1075,749
2020-05-15,11514,11838,19259,14665,1109,765
2020-05-16,11779,12158,20120,15297,1145,781
2020-05-17,11588,12471,21259,15946,1177,798
2020-05-18,11393,12791,22385,16612,1209,815
2020-05-19,11609,13120,23218,17295,1237,833
2020-05-20,11957,13459,23841,17995,1278,851
2020-05-21,12018,13806,24486,18713,1323,870
2020-05-22,11988,14168,25514,19450,1373,889
2020-05-23,11935,14553,26541,20206,1409,909
2020-05-24,12079,14949,27514,20983,1434,929
2020-05-25,12178,15350,28433,21781,1458,950
2020-05-26,12294,15766,29504,22600,1487,971
2020-05-27,12416,16198,30454,23441,1520,993
2020-05-28,12735,16640,31076,24305,1545,1015
2020-05-29,12935,17108,31574,25193,1561,1038
2020-05-30,12820,17605,32295,26106,1583,1062
2020-05-31,12014,18114,33651,27046,1605,1086
2020-06-01,11470,18638,35017,28013,1627,1111
2020-06-02,10963,19181,36431,29008,1647,1137
2020-06-03,10814,19747,37635,30032,1670,1163
2020-06-04,10229,20336,39258,31086,1694,1190
2020-06-05,9654,20979,40857,32171,1720,1218
2020-06-06,9284,21691,42030,33291,1743,1247
2020-06-07,9446,22410,42728,34449,1765,1277
2020-06-08,9881,23132,43426,35645,1784,1308
2020-06-09,10034,23840,44571,36880,1808,1340
2020-06-10,12386,24576,45724,38152,1841,1373
2020-06-11,15230,25328,46840,39464,1871,1407
2020-06-12,18192,26129,47853,40816,1900,1442
2020-06-13,18448,26963,49069,42211,1921,1478
2020-06-14,18293,27786,50161,43650,1937,1515
2020-06-15,19431,28626,50909,45133,1950,1553
2020-06-16,21554,29508,51576,46661,1970,1593
2020-06-17,23433,30411,52561,48236,1996,1634
2020-06-18,24473,31341,53934,49859,2024,1676
2020-06-19,24905,32323,55296,51532,2050,1719
2020-06-20,25162,33384,56711,53257,2072,1764
2020-06-21,26077,34446,57988,55039,2092,1810
2020-06-22,27826,35518,59370,56877,2122,1858
2020-06-23,30514,36620,60712,58773,2159,1907
2020-06-24,32561,37753,62287,60727,2198,1958
2020-06-25,34594,38948,63836,62742,2231,2010
2020-06-26,36556,40237,65412,64821,2262,2064
2020-06-27,38432,41660,66974,66968,2286,2120
2020-06-28,40494,43078,68261,69191,2309,2178
2020-06-29,43446,44414,69467,71490,2330,2237
2020-06-30,47218,45753,70934,73860,2360,2298
2020-07-01,50962,47130,72702,76302,2398,2361
2020-07-02,55537,48520,74558,78817,2440,2426
2020-07-03,59940,49998,76342,81407,2482,2493
2020-07-04,64531,51630,78168,84075,2518,2562
2020-07-05,69048,53258,79852,86830,2550,2633
2020-07-06,73816,54839,82042,89672,2578,2707
2020-07-07,78855,56436,84569,92599,2616,2783
2020-07-08,82345,58091,87698,95611,2662,2861
2020-07-09,85823,59784,90616,98711,2715,2941
2020-07-10,87947,61606,93907,101902,2762,3024
2020-07-11,90608,63610,97281,105190,2805,3109
2020-07-12,93564,65583,100685,108585,2847,3197
2020-07-13,97541,67492,104370,112085,2910,3288
2020-07-14,102141,69453,108517,115687,2989,3381
2020-07-15,106832,71460,113365,119394,3100,3477
2020-07-16,112219,73567,118202,123208,3197,3576
2020-07-17,116554,75855,123067,127134,3293,3678
2020-07-18,119727,78253,127838,131182,3371,3783
2020-07-19,123368,80690,132312,135358,3454,3891
2020-07-20,127112,82977,137151,139664,3540,4002
2020-07-21,131254,85252,142697,144092,3646,4117
2020-07-22,133639,87519,149203,148642,3779,4235
2020-07-23,134936,89866,155801,153313,3936,4356
2020-07-24,136278,92307,162569,158109,4088,4480
2020-07-25,137912,94893,168236,163035,4210,4607
2020-07-26,141193,97393,173462,168099,4319,4738
2020-07-27,143895,99822,179112,173297,4416,4872
2020-07-28,145877,102230,186571,178625,4576,5010
2020-07-29,146488,104768,195223,184081,4750,5151
2020-07-30,146735,107358,203785,189672,4960,5296
2020-07-31,145599,110039,212517,195402,5137,5444
2020-08-01,140625,112990,223501,201275,5304,5596
2020-08-02,136375,115881,234245,207305,5636,5752
2020-08-03,136725,118687,241892,213490,5988,5912
2020-08-04,140705,121501,246748,219824,6370,6076
2020-08-05,143721,124418,252112,226309,6609,6244
2020-08-06,142056,127367,261693,232949,6829,6416
2020-08-07,136306,130523,274582,239747,7057,6592
2020-08-08,129836,133845,286875,246713,7208,6772
2020-08-09,126325,137096,294952,253856,7370,6957
2020-08-10,129802,140363,300368,261173,7522,7146
2020-08-11,134084,143637,306445,268664,7784,7340
2020-08-12,137044,146963,315239,276330,8273,7538
2020-08-13,137115,150394,323708,284173,8777,7741
2020-08-14,140088,153994,331271,292200,9226,7949
2020-08-15,144633,157764,338285,300419,9421,8162
